day,device,returning_user,sweater,channel,visitors,sales,revenue
2025-04-17,mobile,returning,none,paid,12238,0,0
2025-04-17,mobile,returning,none,social,8025,0,0
2025-04-17,mobile,returning,regular,email,606,606,12120
2025-04-17,mobile,returning,regular,organic,987,987,19740
2025-04-17,mobile,returning,regular,paid,921,921,18420
2025-04-17,mobile,returning,regular,social,599,599,11980
2025-04-18,desktop,new,none,email,21410,0,0
2025-04-18,desktop,new,none,organic,31466,0,0
2025-04-18,desktop,new,none,paid,31693,0,0
2025-04-18,desktop,new,none,social,25303,0,0
2025-04-18,desktop,new,regular,email,706,706,14120
2025-04-18,desktop,new,regular,organic,1349,1349,26980
2025-04-18,desktop,new,regular,paid,861,861,17220
2025-04-18,desktop,new,regular,social,700,700,14000
2025-04-18,desktop,returning,none,email,4358,0,0
2025-04-18,desktop,returning,none,organic,6576,0,0
2025-04-18,desktop,returning,none,paid,6715,0,0
2025-04-18,desktop,returning,none,social,5318,0,0
2025-04-18,desktop,returning,regular,email,494,494,9880
2025-04-18,desktop,returning,regular,organic,895,895,17900
2025-04-18,desktop,returning,regular,paid,552,552,11040
2025-04-18,desktop,returning,regular,social,514,514,10280
2025-04-18,mobile,new,none,email,32366,0,0
2025-04-18,mobile,new,none,organic,49293,0,0
2025-04-18,mobile,new,none,paid,48111,0,0
2025-04-18,mobile,new,none,social,38748,0,0
2025-04-18,mobile,new,regular,email,844,844,16880
2025-04-18,mobile,new,regular,organic,1438,1438,28760
2025-04-18,mobile,new,regular,paid,962,962,19240
2025-04-18,mobile,new,regular,social,746,746,14920
2025-04-18,mobile,returning,none,email,6951,0,0
2025-04-18,mobile,returning,none,organic,10445,0,0
2025-04-18,mobile,returning,none,paid,10412,0,0
2025-04-18,mobile,returning,none,social,8451,0,0
2025-04-18,mobile,returning,regular,email,596,596,11920
2025-04-18,mobile,returning,regular,organic,938,938,18760
2025-04-18,mobile,returning,regular,paid,636,636,12720
2025-04-18,mobile,returning,regular,social,517,517,10340
2025-04-19,desktop,new,none,email,12373,0,0
2025-04-19,desktop,new,none,organic,18189,0,0
2025-04-19,desktop,new,none,paid,17881,0,0
2025-04-19,desktop,new,none,social,13155,0,0
2025-04-19,desktop,new,regular,email,504,504,10080
2025-04-19,desktop,new,regular,organic,814,814,16280
2025-04-19,desktop,new,regular,paid,569,569,11380
2025-04-19,desktop,new,regular,social,435,435,8700
2025-04-19,desktop,returning,none,email,3395,0,0
2025-04-19,desktop,returning,none,organic,4882,0,0
2025-04-19,desktop,returning,none,paid,4877,0,0
2025-04-19,desktop,returning,none,social,3647,0,0
2025-04-19,desktop,returning,regular,email,445,445,8900
2025-04-19,desktop,returning,regular,organic,808,808,16160
2025-04-19,desktop,returning,regular,paid,521,521,10420
2025-04-19,desktop,returning,regular,social,369,369,7380
2025-04-19,mobile,new,none,email,20109,0,0
2025-04-19,mobile,new,none,organic,29226,0,0
2025-04-19,mobile,new,none,paid,29232,0,0
2025-04-19,mobile,new,none,social,21363,0,0
2025-04-19,mobile,new,regular,email,626,626,12520
2025-04-19,mobile,new,regular,organic,1016,1016,20320
2025-04-19,mobile,new,regular,paid,682,682,13640
2025-04-19,mobile,new,regular,social,500,500,10000
2025-04-19,mobile,returning,none,email,5627,0,0
2025-04-19,mobile,returning,none,organic,7890,0,0
2025-04-19,mobile,returning,none,paid,8218,0,0
2025-04-19,mobile,returning,none,social,6033,0,0
2025-04-19,mobile,returning,regular,email,533,533,10660
2025-04-19,mobile,returning,regular,organic,909,909,18180
2025-04-19,mobile,returning,regular,paid,587,587,11740
2025-04-19,mobile,returning,regular,social,465,465,9300
2025-04-20,desktop,new,none,email,10067,0,0
2025-04-20,desktop,new,none,organic,15900,0,0
2025-04-20,desktop,new,none,paid,17145,0,0
2025-04-20,desktop,new,none,social,9431,0,0
2025-04-20,desktop,new,regular,email,421,421,8420
2025-04-20,desktop,new,regular,organic,822,822,16440
2025-04-20,desktop,new,regular,paid,588,588,11760
2025-04-20,desktop,new,regular,social,304,304,6080
2025-04-20,desktop,returning,none,email,2300,0,0
2025-04-20,desktop,returning,none,organic,3710,0,0
2025-04-20,desktop,returning,none,paid,3942,0,0
2025-04-20,desktop,returning,none,social,2156,0,0
2025-04-20,desktop,returning,regular,email,347,347,6940
2025-04-20,desktop,returning,regular,organic,605,605,12100
2025-04-20,desktop,returning,regular,paid,470,470,9400
2025-04-20,desktop,returning,regular,social,265,265,5300
2025-04-20,mobile,new,none,email,18066,0,0
2025-04-20,mobile,new,none,organic,28635,0,0
2025-04-20,mobile,new,none,paid,29895,0,0
2025-04-20,mobile,new,none,social,16330,0,0
2025-04-20,mobile,new,regular,email,561,561,11220
2025-04-20,mobile,new,regular,organic,1045,1045,20900
2025-04-20,mobile,new,regular,paid,774,774,15480
2025-04-20,mobile,new,regular,social,388,388,7760
2025-04-20,mobile,returning,none,email,4262,0,0
2025-04-20,mobile,returning,none,organic,6746,0,0
2025-04-20,mobile,returning,none,paid,7217,0,0
2025-04-20,mobile,returning,none,social,3986,0,0
2025-04-20,mobile,returning,regular,email,452,452,9040
2025-04-20,mobile,returning,regular,organic,769,769,15380
2025-04-20,mobile,returning,regular,paid,558,558,11160
2025-04-20,mobile,returning,regular,social,275,275,5500
2025-04-21,desktop,new,none,email,18132,0,0
2025-04-21,desktop,new,none,organic,31063,0,0
2025-04-21,desktop,new,none,paid,27325,0,0
2025-04-21,desktop,new,none,social,18171,0,0
2025-04-21,desktop,new,regular,email,622,622,12440
2025-04-21,desktop,new,regular,organic,1284,1284,25680
2025-04-21,desktop,new,regular,paid,745,745,14900
2025-04-21,desktop,new,regular,social,527,527,10540
2025-04-21,desktop,returning,none,email,3870,0,0
2025-04-21,desktop,returning,none,organic,6689,0,0
2025-04-21,desktop,returning,none,paid,6182,0,0
2025-04-21,desktop,returning,none,social,4002,0,0
2025-04-21,desktop,returning,regular,email,427,427,8540
2025-04-21,desktop,returning,regular,organic,879,879,17580
2025-04-21,desktop,returning,regular,paid,548,548,10960
2025-04-21,desktop,returning,regular,social,376,376,7520
2025-04-21,mobile,new,none,email,30645,0,0
2025-04-21,mobile,new,none,organic,53126,0,0
2025-04-21,mobile,new,none,paid,45328,0,0
2025-04-21,mobile,new,none,social,30699,0,0
2025-04-21,mobile,new,regular,email,764,764,15280
2025-04-21,mobile,new,regular,organic,1520,1520,30400
2025-04-21,mobile,new,regular,paid,858,858,17160
2025-04-21,mobile,new,regular,social,651,651,13020
2025-04-21,mobile,returning,none,email,6777,0,0
2025-04-21,mobile,returning,none,organic,11782,0,0
2025-04-21,mobile,returning,none,paid,10338,0,0
2025-04-21,mobile,returning,none,social,7056,0,0
2025-04-21,mobile,returning,regular,email,543,543,10860
2025-04-21,mobile,returning,regular,organic,1147,1147,22940
2025-04-21,mobile,returning,regular,paid,670,670,13400
2025-04-21,mobile,returning,regular,social,458,458,9160
2025-04-22,desktop,new,none,email,18495,0,0
2025-04-22,desktop,new,none,organic,28449,0,0
2025-04-22,desktop,new,none,paid,22251,0,0
2025-04-22,desktop,new,none,social,21762,0,0
2025-04-22,desktop,new,regular,email,767,767,15340
2025-04-22,desktop,new,regular,organic,1576,1576,31520
2025-04-22,desktop,new,regular,paid,751,751,15020
2025-04-22,desktop,new,regular,social,728,728,14560
2025-04-22,desktop,returning,none,email,4003,0,0
2025-04-22,desktop,returning,none,organic,5985,0,0
2025-04-22,desktop,returning,none,paid,4778,0,0
2025-04-22,desktop,returning,none,social,4878,0,0
2025-04-22,desktop,returning,regular,email,556,556,11120
2025-04-22,desktop,returning,regular,organic,1090,1090,21800
2025-04-22,desktop,returning,regular,paid,568,568,11360
2025-04-22,desktop,returning,regular,social,506,506,10120
2025-04-22,mobile,new,none,email,28586,0,0
2025-04-22,mobile,new,none,organic,44285,0,0
2025-04-22,mobile,new,none,paid,33963,0,0
2025-04-22,mobile,new,none,social,33733,0,0
2025-04-22,mobile,new,regular,email,929,929,18580
2025-04-22,mobile,new,regular,organic,1641,1641,32820
2025-04-22,mobile,new,regular,paid,831,831,16620
2025-04-22,mobile,new,regular,social,806,806,16120
2025-04-22,mobile,returning,none,email,6263,0,0
2025-04-22,mobile,returning,none,organic,9669,0,0
2025-04-22,mobile,returning,none,paid,7732,0,0
2025-04-22,mobile,returning,none,social,7465,0,0
2025-04-22,mobile,returning,regular,email,630,630,12600
2025-04-22,mobile,returning,regular,organic,1229,1229,24580
2025-04-22,mobile,returning,regular,paid,595,595,11900
2025-04-22,mobile,returning,regular,social,546,546,10920
2025-04-23,desktop,new,none,email,14866,0,0
2025-04-23,desktop,new,none,organic,22695,0,0
2025-04-23,desktop,new,none,paid,24710,0,0
2025-04-23,desktop,new,none,social,14845,0,0
2025-04-23,desktop,new,regular,email,591,591,11820
2025-04-23,desktop,new,regular,organic,1071,1071,21420
2025-04-23,desktop,new,regular,paid,799,799,15980
2025-04-23,desktop,new,regular,social,501,501,10020
2025-04-23,desktop,returning,none,email,2903,0,0
2025-04-23,desktop,returning,none,organic,4533,0,0
2025-04-23,desktop,returning,none,paid,5185,0,0
2025-04-23,desktop,returning,none,social,3099,0,0
2025-04-23,desktop,returning,regular,email,411,411,8220
2025-04-23,desktop,returning,regular,organic,715,715,14300
2025-04-23,desktop,returning,regular,paid,506,506,10120
2025-04-23,desktop,returning,regular,social,306,306,6120
2025-04-23,mobile,new,none,email,26088,0,0
2025-04-23,mobile,new,none,organic,40335,0,0
2025-04-23,mobile,new,none,paid,43831,0,0
2025-04-23,mobile,new,none,social,26538,0,0
2025-04-23,mobile,new,regular,email,710,710,14200
2025-04-23,mobile,new,regular,organic,1391,1391,27820
2025-04-23,mobile,new,regular,paid,1026,1026,20520
2025-04-23,mobile,new,regular,social,598,598,11960
2025-04-23,mobile,returning,none,email,5226,0,0
2025-04-23,mobile,returning,none,organic,8385,0,0
2025-04-23,mobile,returning,none,paid,9308,0,0
2025-04-23,mobile,returning,none,social,5548,0,0
2025-04-23,mobile,returning,regular,email,520,520,10400
2025-04-23,mobile,returning,regular,organic,929,929,18580
2025-04-23,mobile,returning,regular,paid,647,647,12940
2025-04-23,mobile,returning,regular,social,407,407,8140
2025-04-24,desktop,new,fancy,email,208,208,9800
2025-04-24,desktop,new,fancy,organic,372,372,19560
2025-04-24,desktop,new,fancy,paid,249,249,12160
2025-04-24,desktop,new,fancy,social,155,155,7320
2025-04-24,desktop,new,none,email,15673,0,0
2025-04-24,desktop,new,none,organic,24149,0,0
2025-04-24,desktop,new,none,paid,26899,0,0
2025-04-24,desktop,new,none,social,15909,0,0
2025-04-24,desktop,new,regular,email,218,218,5180
2025-04-24,desktop,new,regular,organic,392,392,10220
2025-04-24,desktop,new,regular,paid,284,284,6920
2025-04-24,desktop,new,regular,social,155,155,3680
2025-04-24,desktop,returning,fancy,email,130,130,5880
2025-04-24,desktop,returning,fancy,organic,282,282,14200
2025-04-24,desktop,returning,fancy,paid,171,171,8120
2025-04-24,desktop,returning,fancy,social,115,115,4840
2025-04-24,desktop,returning,none,email,3380,0,0
2025-04-24,desktop,returning,none,organic,5342,0,0
2025-04-24,desktop,returning,none,paid,6042,0,0
2025-04-24,desktop,returning,none,social,3584,0,0
2025-04-24,desktop,returning,regular,email,166,166,3660
2025-04-24,desktop,returning,regular,organic,246,246,6320
2025-04-24,desktop,returning,regular,paid,204,204,4640
2025-04-24,desktop,returning,regular,social,120,120,2520
2025-04-24,mobile,new,fancy,email,253,253,11920
2025-04-24,mobile,new,fancy,organic,458,458,23960
2025-04-24,mobile,new,fancy,paid,361,361,17920
2025-04-24,mobile,new,fancy,social,194,194,9200
2025-04-24,mobile,new,none,email,25052,0,0
2025-04-24,mobile,new,none,organic,38546,0,0
2025-04-24,mobile,new,none,paid,42583,0,0
2025-04-24,mobile,new,none,social,25188,0,0
2025-04-24,mobile,new,regular,email,216,216,5260
2025-04-24,mobile,new,regular,organic,452,452,12000
2025-04-24,mobile,new,regular,paid,333,333,8620
2025-04-24,mobile,new,regular,social,179,179,4320
2025-04-24,mobile,returning,fancy,email,152,152,7080
2025-04-24,mobile,returning,fancy,organic,324,324,15880
2025-04-24,mobile,returning,fancy,paid,213,213,9960
2025-04-24,mobile,returning,fancy,social,143,143,6360
2025-04-24,mobile,returning,none,email,5532,0,0
2025-04-24,mobile,returning,none,organic,8566,0,0
2025-04-24,mobile,returning,none,paid,9341,0,0
2025-04-24,mobile,returning,none,social,5696,0,0
2025-04-24,mobile,returning,regular,email,170,170,3860
2025-04-24,mobile,returning,regular,organic,304,304,7600
2025-04-24,mobile,returning,regular,paid,205,205,4780
2025-04-24,mobile,returning,regular,social,127,127,2900
2025-04-25,desktop,new,fancy,email,233,233,11600
2025-04-25,desktop,new,fancy,organic,445,445,23920
2025-04-25,desktop,new,fancy,paid,356,356,18400
2025-04-25,desktop,new,fancy,social,214,214,10280
2025-04-25,desktop,new,none,email,20859,0,0
2025-04-25,desktop,new,none,organic,29880,0,0
2025-04-25,desktop,new,none,paid,35977,0,0
2025-04-25,desktop,new,none,social,21284,0,0
2025-04-25,desktop,new,regular,email,229,229,5680
2025-04-25,desktop,new,regular,organic,430,430,11700
2025-04-25,desktop,new,regular,paid,353,353,9040
2025-04-25,desktop,new,regular,social,209,209,5160
2025-04-25,desktop,returning,fancy,email,186,186,8680
2025-04-25,desktop,returning,fancy,organic,311,311,15640
2025-04-25,desktop,returning,fancy,paid,267,267,13160
2025-04-25,desktop,returning,fancy,social,150,150,6680
2025-04-25,desktop,returning,none,email,4911,0,0
2025-04-25,desktop,returning,none,organic,6575,0,0
2025-04-25,desktop,returning,none,paid,8406,0,0
2025-04-25,desktop,returning,none,social,4884,0,0
2025-04-25,desktop,returning,regular,email,175,175,4080
2025-04-25,desktop,returning,regular,organic,315,315,7860
2025-04-25,desktop,returning,regular,paid,274,274,6760
2025-04-25,desktop,returning,regular,social,135,135,3040
2025-04-25,mobile,new,fancy,email,275,275,13400
2025-04-25,mobile,new,fancy,organic,477,477,27000
2025-04-25,mobile,new,fancy,paid,418,418,21520
2025-04-25,mobile,new,fancy,social,247,247,11520
2025-04-25,mobile,new,none,email,32779,0,0
2025-04-25,mobile,new,none,organic,46573,0,0
2025-04-25,mobile,new,none,paid,56865,0,0
2025-04-25,mobile,new,none,social,33026,0,0
2025-04-25,mobile,new,regular,email,293,293,6980
2025-04-25,mobile,new,regular,organic,538,538,14480
2025-04-25,mobile,new,regular,paid,382,382,10220
2025-04-25,mobile,new,regular,social,255,255,5940
2025-04-25,mobile,returning,fancy,email,200,200,9560
2025-04-25,mobile,returning,fancy,organic,360,360,19160
2025-04-25,mobile,returning,fancy,paid,286,286,14800
2025-04-25,mobile,returning,fancy,social,159,159,7320
2025-04-25,mobile,returning,none,email,7599,0,0
2025-04-25,mobile,returning,none,organic,10659,0,0
2025-04-25,mobile,returning,none,paid,13190,0,0
2025-04-25,mobile,returning,none,social,7763,0,0
2025-04-25,mobile,returning,regular,email,219,219,5160
2025-04-25,mobile,returning,regular,organic,386,386,10000
2025-04-25,mobile,returning,regular,paid,292,292,7360
2025-04-25,mobile,returning,regular,social,165,165,3760
