day,device,browser,channel,location,visitors,signups
2025-05-15,tablet,safari,organic,northern,57,1
2025-05-15,tablet,safari,organic,southern,28,2
2025-05-15,tablet,safari,organic,eastern,6,1
2025-05-15,tablet,safari,organic,western,31,1
2025-05-15,tablet,safari,organic,central,11,0
2025-05-15,tablet,safari,paid,northern,30,1
2025-05-15,tablet,safari,paid,southern,6,0
2025-05-15,tablet,safari,paid,eastern,5,1
2025-05-15,tablet,safari,paid,western,14,0
2025-05-15,tablet,safari,paid,central,3,0
2025-05-16,mobile,chrome,organic,northern,998,46
2025-05-16,mobile,chrome,organic,southern,518,25
2025-05-16,mobile,chrome,organic,eastern,251,12
2025-05-16,mobile,chrome,organic,western,549,19
2025-05-16,mobile,chrome,organic,central,281,8
2025-05-16,mobile,chrome,paid,northern,489,41
2025-05-16,mobile,chrome,paid,southern,237,9
2025-05-16,mobile,chrome,paid,eastern,111,3
2025-05-16,mobile,chrome,paid,western,277,16
2025-05-16,mobile,chrome,paid,central,142,2
2025-05-16,mobile,firefox,organic,northern,523,25
2025-05-16,mobile,firefox,organic,southern,283,11
2025-05-16,mobile,firefox,organic,eastern,123,4
2025-05-16,mobile,firefox,organic,western,269,5
2025-05-16,mobile,firefox,organic,central,153,6
2025-05-16,mobile,firefox,paid,northern,260,23
2025-05-16,mobile,firefox,paid,southern,154,14
2025-05-16,mobile,firefox,paid,eastern,57,3
2025-05-16,mobile,firefox,paid,western,137,3
2025-05-16,mobile,firefox,paid,central,71,3
2025-05-16,mobile,safari,organic,northern,343,11
2025-05-16,mobile,safari,organic,southern,186,4
2025-05-16,mobile,safari,organic,eastern,110,3
2025-05-16,mobile,safari,organic,western,186,8
2025-05-16,mobile,safari,organic,central,97,4
2025-05-16,mobile,safari,paid,northern,175,14
2025-05-16,mobile,safari,paid,southern,79,5
2025-05-16,mobile,safari,paid,eastern,42,1
2025-05-16,mobile,safari,paid,western,86,11
2025-05-16,mobile,safari,paid,central,50,1
2025-05-16,desktop,chrome,organic,northern,540,29
2025-05-16,desktop,chrome,organic,southern,292,20
2025-05-16,desktop,chrome,organic,eastern,144,6
2025-05-16,desktop,chrome,organic,western,243,9
2025-05-16,desktop,chrome,organic,central,156,2
2025-05-16,desktop,chrome,paid,northern,237,21
2025-05-16,desktop,chrome,paid,southern,126,10
2025-05-16,desktop,chrome,paid,eastern,63,2
2025-05-16,desktop,chrome,paid,western,133,13
2025-05-16,desktop,chrome,paid,central,74,1
2025-05-16,desktop,firefox,organic,northern,272,14
2025-05-16,desktop,firefox,organic,southern,140,12
2025-05-16,desktop,firefox,organic,eastern,58,1
2025-05-16,desktop,firefox,organic,western,148,7
2025-05-16,desktop,firefox,organic,central,78,2
2025-05-16,desktop,firefox,paid,northern,109,6
2025-05-16,desktop,firefox,paid,southern,81,11
2025-05-16,desktop,firefox,paid,eastern,34,1
2025-05-16,desktop,firefox,paid,western,69,6
2025-05-16,desktop,firefox,paid,central,44,1
2025-05-16,desktop,safari,organic,northern,164,8
2025-05-16,desktop,safari,organic,southern,81,1
2025-05-16,desktop,safari,organic,eastern,48,2
2025-05-16,desktop,safari,organic,western,98,4
2025-05-16,desktop,safari,organic,central,65,4
2025-05-16,desktop,safari,paid,northern,84,7
2025-05-16,desktop,safari,paid,southern,38,7
2025-05-16,desktop,safari,paid,eastern,18,0
2025-05-16,desktop,safari,paid,western,40,4
2025-05-16,desktop,safari,paid,central,34,2
2025-05-16,tablet,chrome,organic,northern,174,9
2025-05-16,tablet,chrome,organic,southern,101,6
2025-05-16,tablet,chrome,organic,eastern,48,2
2025-05-16,tablet,chrome,organic,western,93,3
2025-05-16,tablet,chrome,organic,central,54,0
2025-05-16,tablet,chrome,paid,northern,95,1
2025-05-16,tablet,chrome,paid,southern,36,4
2025-05-16,tablet,chrome,paid,eastern,24,1
2025-05-16,tablet,chrome,paid,western,44,3
2025-05-16,tablet,chrome,paid,central,24,0
2025-05-16,tablet,firefox,organic,northern,85,1
2025-05-16,tablet,firefox,organic,southern,37,0
2025-05-16,tablet,firefox,organic,eastern,25,1
2025-05-16,tablet,firefox,organic,western,59,1
2025-05-16,tablet,firefox,organic,central,29,0
2025-05-16,tablet,firefox,paid,northern,36,2
2025-05-16,tablet,firefox,paid,southern,27,0
2025-05-16,tablet,firefox,paid,eastern,5,0
2025-05-16,tablet,firefox,paid,western,27,0
2025-05-16,tablet,firefox,paid,central,8,0
2025-05-16,tablet,safari,organic,northern,63,2
2025-05-16,tablet,safari,organic,southern,30,1
2025-05-16,tablet,safari,organic,eastern,20,0
2025-05-16,tablet,safari,organic,western,30,0
2025-05-16,tablet,safari,organic,central,17,0
2025-05-16,tablet,safari,paid,northern,32,2
2025-05-16,tablet,safari,paid,southern,17,1
2025-05-16,tablet,safari,paid,eastern,7,0
2025-05-16,tablet,safari,paid,western,14,1
2025-05-16,tablet,safari,paid,central,11,1
2025-05-17,mobile,chrome,organic,northern,863,41
2025-05-17,mobile,chrome,organic,southern,444,19
2025-05-17,mobile,chrome,organic,eastern,226,6
2025-05-17,mobile,chrome,organic,western,437,19
2025-05-17,mobile,chrome,organic,central,242,5
2025-05-17,mobile,chrome,paid,northern,338,22
2025-05-17,mobile,chrome,paid,southern,179,9
2025-05-17,mobile,chrome,paid,eastern,80,2
2025-05-17,mobile,chrome,paid,western,180,7
2025-05-17,mobile,chrome,paid,central,115,1
2025-05-17,mobile,firefox,organic,northern,461,22
2025-05-17,mobile,firefox,organic,southern,242,12
2025-05-17,mobile,firefox,organic,eastern,124,4
2025-05-17,mobile,firefox,organic,western,247,8
2025-05-17,mobile,firefox,organic,central,173,3
2025-05-17,mobile,firefox,paid,northern,175,14
2025-05-17,mobile,firefox,paid,southern,93,5
2025-05-17,mobile,firefox,paid,eastern,44,1
2025-05-17,mobile,firefox,paid,western,113,1
2025-05-17,mobile,firefox,paid,central,56,1
2025-05-17,mobile,safari,organic,northern,338,18
2025-05-17,mobile,safari,organic,southern,174,8
2025-05-17,mobile,safari,organic,eastern,101,3
2025-05-17,mobile,safari,organic,western,164,7
2025-05-17,mobile,safari,organic,central,109,3
2025-05-17,mobile,safari,paid,northern,154,14
2025-05-17,mobile,safari,paid,southern,74,7
2025-05-17,mobile,safari,paid,eastern,48,3
2025-05-17,mobile,safari,paid,western,68,7
2025-05-17,mobile,safari,paid,central,60,0
2025-05-17,desktop,chrome,organic,northern,424,22
2025-05-17,desktop,chrome,organic,southern,207,5
2025-05-17,desktop,chrome,organic,eastern,108,4
2025-05-17,desktop,chrome,organic,western,246,16
2025-05-17,desktop,chrome,organic,central,141,3
2025-05-17,desktop,chrome,paid,northern,156,18
2025-05-17,desktop,chrome,paid,southern,93,3
2025-05-17,desktop,chrome,paid,eastern,46,4
2025-05-17,desktop,chrome,paid,western,82,4
2025-05-17,desktop,chrome,paid,central,59,1
2025-05-17,desktop,firefox,organic,northern,249,13
2025-05-17,desktop,firefox,organic,southern,117,4
2025-05-17,desktop,firefox,organic,eastern,52,1
2025-05-17,desktop,firefox,organic,western,102,3
2025-05-17,desktop,firefox,organic,central,75,3
2025-05-17,desktop,firefox,paid,northern,89,6
2025-05-17,desktop,firefox,paid,southern,38,2
2025-05-17,desktop,firefox,paid,eastern,25,1
2025-05-17,desktop,firefox,paid,western,52,4
2025-05-17,desktop,firefox,paid,central,33,0
2025-05-17,desktop,safari,organic,northern,159,10
2025-05-17,desktop,safari,organic,southern,87,3
2025-05-17,desktop,safari,organic,eastern,39,0
2025-05-17,desktop,safari,organic,western,75,5
2025-05-17,desktop,safari,organic,central,50,1
2025-05-17,desktop,safari,paid,northern,62,5
2025-05-17,desktop,safari,paid,southern,26,3
2025-05-17,desktop,safari,paid,eastern,18,0
2025-05-17,desktop,safari,paid,western,42,3
2025-05-17,desktop,safari,paid,central,20,0
2025-05-17,tablet,chrome,organic,northern,133,10
2025-05-17,tablet,chrome,organic,southern,71,2
2025-05-17,tablet,chrome,organic,eastern,34,1
2025-05-17,tablet,chrome,organic,western,61,2
2025-05-17,tablet,chrome,organic,central,52,0
2025-05-17,tablet,chrome,paid,northern,38,2
2025-05-17,tablet,chrome,paid,southern,19,3
2025-05-17,tablet,chrome,paid,eastern,20,1
2025-05-17,tablet,chrome,paid,western,30,2
2025-05-17,tablet,chrome,paid,central,19,1
2025-05-17,tablet,firefox,organic,northern,67,1
2025-05-17,tablet,firefox,organic,southern,33,0
2025-05-17,tablet,firefox,organic,eastern,33,1
2025-05-17,tablet,firefox,organic,western,28,0
2025-05-17,tablet,firefox,organic,central,21,1
2025-05-17,tablet,firefox,paid,northern,35,3
2025-05-17,tablet,firefox,paid,southern,18,0
2025-05-17,tablet,firefox,paid,eastern,7,0
2025-05-17,tablet,firefox,paid,western,16,1
2025-05-17,tablet,firefox,paid,central,12,0
2025-05-17,tablet,safari,organic,northern,53,4
2025-05-17,tablet,safari,organic,southern,26,1
2025-05-17,tablet,safari,organic,eastern,14,0
2025-05-17,tablet,safari,organic,western,25,0
2025-05-17,tablet,safari,organic,central,16,0
2025-05-17,tablet,safari,paid,northern,15,1
2025-05-17,tablet,safari,paid,southern,11,1
2025-05-17,tablet,safari,paid,eastern,2,0
2025-05-17,tablet,safari,paid,western,8,1
2025-05-17,tablet,safari,paid,central,5,1
2025-05-18,mobile,chrome,organic,northern,707,43
2025-05-18,mobile,chrome,organic,southern,368,17
2025-05-18,mobile,chrome,organic,eastern,173,5
2025-05-18,mobile,chrome,organic,western,375,17
2025-05-18,mobile,chrome,organic,central,195,5
2025-05-18,mobile,chrome,paid,northern,386,24
2025-05-18,mobile,chrome,paid,southern,198,6
2025-05-18,mobile,chrome,paid,eastern,91,3
2025-05-18,mobile,chrome,paid,western,179,5
2025-05-18,mobile,chrome,paid,central,115,4
2025-05-18,mobile,firefox,organic,northern,478,20
2025-05-18,mobile,firefox,organic,southern,231,10
2025-05-18,mobile,firefox,organic,eastern,121,0
2025-05-18,mobile,firefox,organic,western,252,4
2025-05-18,mobile,firefox,organic,central,139,4
2025-05-18,mobile,firefox,paid,northern,236,8
2025-05-18,mobile,firefox,paid,southern,123,3
2025-05-18,mobile,firefox,paid,eastern,60,0
2025-05-18,mobile,firefox,paid,western,129,9
2025-05-18,mobile,firefox,paid,central,84,3
2025-05-18,mobile,safari,organic,northern,382,17
2025-05-18,mobile,safari,organic,southern,177,7
2025-05-18,mobile,safari,organic,eastern,93,2
2025-05-18,mobile,safari,organic,western,160,8
2025-05-18,mobile,safari,organic,central,94,3
2025-05-18,mobile,safari,paid,northern,181,9
2025-05-18,mobile,safari,paid,southern,98,4
2025-05-18,mobile,safari,paid,eastern,39,0
2025-05-18,mobile,safari,paid,western,80,5
2025-05-18,mobile,safari,paid,central,62,3
2025-05-18,desktop,chrome,organic,northern,380,18
2025-05-18,desktop,chrome,organic,southern,158,3
2025-05-18,desktop,chrome,organic,eastern,84,1
2025-05-18,desktop,chrome,organic,western,173,12
2025-05-18,desktop,chrome,organic,central,109,2
2025-05-18,desktop,chrome,paid,northern,205,17
2025-05-18,desktop,chrome,paid,southern,99,7
2025-05-18,desktop,chrome,paid,eastern,47,1
2025-05-18,desktop,chrome,paid,western,97,3
2025-05-18,desktop,chrome,paid,central,54,0
2025-05-18,desktop,firefox,organic,northern,268,14
2025-05-18,desktop,firefox,organic,southern,118,7
2025-05-18,desktop,firefox,organic,eastern,69,2
2025-05-18,desktop,firefox,organic,western,131,5
2025-05-18,desktop,firefox,organic,central,70,0
2025-05-18,desktop,firefox,paid,northern,151,16
2025-05-18,desktop,firefox,paid,southern,82,7
2025-05-18,desktop,firefox,paid,eastern,34,1
2025-05-18,desktop,firefox,paid,western,73,8
2025-05-18,desktop,firefox,paid,central,39,1
2025-05-18,desktop,safari,organic,northern,151,10
2025-05-18,desktop,safari,organic,southern,94,7
2025-05-18,desktop,safari,organic,eastern,52,3
2025-05-18,desktop,safari,organic,western,75,4
2025-05-18,desktop,safari,organic,central,46,0
2025-05-18,desktop,safari,paid,northern,98,6
2025-05-18,desktop,safari,paid,southern,55,7
2025-05-18,desktop,safari,paid,eastern,27,0
2025-05-18,desktop,safari,paid,western,44,2
2025-05-18,desktop,safari,paid,central,45,1
2025-05-18,tablet,chrome,organic,northern,122,4
2025-05-18,tablet,chrome,organic,southern,57,2
2025-05-18,tablet,chrome,organic,eastern,29,2
2025-05-18,tablet,chrome,organic,western,66,1
2025-05-18,tablet,chrome,organic,central,34,0
2025-05-18,tablet,chrome,paid,northern,61,1
2025-05-18,tablet,chrome,paid,southern,27,3
2025-05-18,tablet,chrome,paid,eastern,15,0
2025-05-18,tablet,chrome,paid,western,28,0
2025-05-18,tablet,chrome,paid,central,21,1
2025-05-18,tablet,firefox,organic,northern,68,4
2025-05-18,tablet,firefox,organic,southern,42,2
2025-05-18,tablet,firefox,organic,eastern,15,1
2025-05-18,tablet,firefox,organic,western,34,0
2025-05-18,tablet,firefox,organic,central,21,1
2025-05-18,tablet,firefox,paid,northern,34,1
2025-05-18,tablet,firefox,paid,southern,19,2
2025-05-18,tablet,firefox,paid,eastern,12,0
2025-05-18,tablet,firefox,paid,western,20,1
2025-05-18,tablet,firefox,paid,central,11,0
2025-05-18,tablet,safari,organic,northern,61,1
2025-05-18,tablet,safari,organic,southern,32,1
2025-05-18,tablet,safari,organic,eastern,18,2
2025-05-18,tablet,safari,organic,western,34,3
2025-05-18,tablet,safari,organic,central,17,0
2025-05-18,tablet,safari,paid,northern,23,0
2025-05-18,tablet,safari,paid,southern,15,0
2025-05-18,tablet,safari,paid,eastern,6,0
2025-05-18,tablet,safari,paid,western,14,1
2025-05-18,tablet,safari,paid,central,6,0
2025-05-19,mobile,chrome,organic,northern,1060,48
2025-05-19,mobile,chrome,organic,southern,521,30
2025-05-19,mobile,chrome,organic,eastern,266,8
2025-05-19,mobile,chrome,organic,western,553,23
2025-05-19,mobile,chrome,organic,central,353,12
2025-05-19,mobile,chrome,paid,northern,414,27
2025-05-19,mobile,chrome,paid,southern,234,20
2025-05-19,mobile,chrome,paid,eastern,108,4
2025-05-19,mobile,chrome,paid,western,211,8
2025-05-19,mobile,chrome,paid,central,156,6
2025-05-19,mobile,firefox,organic,northern,645,19
2025-05-19,mobile,firefox,organic,southern,297,17
2025-05-19,mobile,firefox,organic,eastern,155,7
2025-05-19,mobile,firefox,organic,western,328,10
2025-05-19,mobile,firefox,organic,central,179,9
2025-05-19,mobile,firefox,paid,northern,268,12
2025-05-19,mobile,firefox,paid,southern,130,5
2025-05-19,mobile,firefox,paid,eastern,56,1
2025-05-19,mobile,firefox,paid,western,114,8
2025-05-19,mobile,firefox,paid,central,66,2
2025-05-19,mobile,safari,organic,northern,447,21
2025-05-19,mobile,safari,organic,southern,206,11
2025-05-19,mobile,safari,organic,eastern,123,5
2025-05-19,mobile,safari,organic,western,217,5
2025-05-19,mobile,safari,organic,central,140,6
2025-05-19,mobile,safari,paid,northern,188,17
2025-05-19,mobile,safari,paid,southern,88,6
2025-05-19,mobile,safari,paid,eastern,42,5
2025-05-19,mobile,safari,paid,western,83,4
2025-05-19,mobile,safari,paid,central,50,5
