day,device,channel,visitors,signups,retained_1_week,retained_1_month,retained_2_months
2024-12-31,tablet,social,3,0,0.0,0.0,0.0
2025-01-01,mobile,organic,99,41,23.0,21.0,21.0
2025-01-01,desktop,organic,49,20,11.0,8.0,8.0
2025-01-01,tablet,organic,16,7,4.0,4.0,3.0
2025-01-01,mobile,paid,57,18,2.0,1.0,1.0
2025-01-01,desktop,paid,28,12,1.0,0.0,0.0
2025-01-01,tablet,paid,9,5,1.0,0.0,0.0
2025-01-01,mobile,referral,68,27,18.0,15.0,13.0
2025-01-01,desktop,referral,34,11,9.0,9.0,8.0
2025-01-01,tablet,referral,11,5,3.0,3.0,3.0
2025-01-01,mobile,social,30,11,3.0,3.0,3.0
2025-01-01,desktop,social,15,5,2.0,2.0,2.0
2025-01-01,tablet,social,5,3,3.0,3.0,2.0
2025-01-02,mobile,organic,76,29,15.0,12.0,11.0
2025-01-02,desktop,organic,38,21,10.0,9.0,8.0
2025-01-02,tablet,organic,12,1,0.0,0.0,0.0
2025-01-02,mobile,paid,59,25,2.0,0.0,0.0
2025-01-02,desktop,paid,29,17,1.0,0.0,0.0
2025-01-02,tablet,paid,9,5,1.0,0.0,0.0
2025-01-02,mobile,referral,63,28,16.0,13.0,10.0
2025-01-02,desktop,referral,31,13,6.0,6.0,6.0
2025-01-02,tablet,referral,10,7,3.0,2.0,1.0
2025-01-02,mobile,social,21,8,3.0,3.0,1.0
2025-01-02,desktop,social,10,0,0.0,0.0,0.0
2025-01-02,tablet,social,3,2,0.0,0.0,0.0
2025-01-03,mobile,organic,104,45,24.0,19.0,18.0
2025-01-03,desktop,organic,52,21,6.0,6.0,6.0
2025-01-03,tablet,organic,17,9,3.0,2.0,2.0
2025-01-03,mobile,paid,59,22,3.0,1.0,1.0
2025-01-03,desktop,paid,29,15,0.0,0.0,0.0
2025-01-03,tablet,paid,9,4,1.0,1.0,0.0
2025-01-03,mobile,referral,84,35,17.0,15.0,13.0
2025-01-03,desktop,referral,42,15,9.0,8.0,6.0
2025-01-03,tablet,referral,14,8,8.0,7.0,6.0
2025-01-03,mobile,social,19,6,2.0,2.0,1.0
2025-01-03,desktop,social,9,1,1.0,1.0,1.0
2025-01-03,tablet,social,3,1,0.0,0.0,0.0
2025-01-04,mobile,organic,91,40,19.0,12.0,10.0
2025-01-04,desktop,organic,45,25,13.0,10.0,10.0
2025-01-04,tablet,organic,15,6,5.0,4.0,3.0
2025-01-04,mobile,paid,57,23,3.0,0.0,0.0
2025-01-04,desktop,paid,28,7,0.0,0.0,0.0
2025-01-04,tablet,paid,9,5,0.0,0.0,0.0
2025-01-04,mobile,referral,73,27,14.0,12.0,8.0
2025-01-04,desktop,referral,36,15,8.0,8.0,5.0
2025-01-04,tablet,referral,12,8,7.0,6.0,4.0
2025-01-04,mobile,social,24,9,4.0,4.0,3.0
2025-01-04,desktop,social,12,6,2.0,2.0,1.0
2025-01-04,tablet,social,4,3,3.0,3.0,3.0
2025-01-05,mobile,organic,115,37,22.0,18.0,17.0
2025-01-05,desktop,organic,57,28,12.0,10.0,10.0
2025-01-05,tablet,organic,19,6,4.0,4.0,4.0
2025-01-05,mobile,paid,57,27,1.0,0.0,0.0
2025-01-05,desktop,paid,28,17,1.0,0.0,0.0
2025-01-05,tablet,paid,9,5,1.0,0.0,0.0
2025-01-05,mobile,referral,72,28,18.0,16.0,15.0
2025-01-05,desktop,referral,36,14,8.0,6.0,5.0
2025-01-05,tablet,referral,12,8,3.0,3.0,3.0
2025-01-05,mobile,social,36,18,5.0,5.0,5.0
2025-01-05,desktop,social,18,7,3.0,3.0,2.0
2025-01-05,tablet,social,6,3,3.0,3.0,2.0
2025-01-06,mobile,organic,97,39,17.0,12.0,10.0
2025-01-06,desktop,organic,48,22,12.0,8.0,6.0
2025-01-06,tablet,organic,16,9,7.0,7.0,5.0
2025-01-06,mobile,paid,65,19,4.0,1.0,0.0
2025-01-06,desktop,paid,32,18,2.0,1.0,1.0
2025-01-06,tablet,paid,10,4,1.0,0.0,0.0
2025-01-06,mobile,referral,73,31,19.0,16.0,13.0
2025-01-06,desktop,referral,36,21,11.0,9.0,7.0
2025-01-06,tablet,referral,12,5,3.0,2.0,2.0
2025-01-06,mobile,social,24,14,5.0,5.0,5.0
2025-01-06,desktop,social,12,7,1.0,1.0,1.0
2025-01-06,tablet,social,4,3,1.0,1.0,1.0
2025-01-07,mobile,organic,96,37,19.0,15.0,14.0
2025-01-07,desktop,organic,48,19,9.0,7.0,7.0
2025-01-07,tablet,organic,16,5,2.0,2.0,2.0
2025-01-07,mobile,paid,64,23,1.0,0.0,0.0
2025-01-07,desktop,paid,32,11,1.0,0.0,0.0
2025-01-07,tablet,paid,10,0,0.0,0.0,0.0
2025-01-07,mobile,referral,75,30,15.0,12.0,10.0
2025-01-07,desktop,referral,37,18,7.0,6.0,3.0
2025-01-07,tablet,referral,12,4,4.0,4.0,3.0
2025-01-07,mobile,social,25,9,1.0,1.0,1.0
2025-01-07,desktop,social,12,4,1.0,1.0,0.0
2025-01-07,tablet,social,4,1,0.0,0.0,0.0
2025-01-08,mobile,organic,104,42,21.0,18.0,18.0
2025-01-08,desktop,organic,52,25,14.0,11.0,11.0
2025-01-08,tablet,organic,17,8,3.0,3.0,3.0
2025-01-08,mobile,paid,73,27,3.0,1.0,0.0
2025-01-08,desktop,paid,36,16,2.0,0.0,0.0
2025-01-08,tablet,paid,12,8,1.0,0.0,0.0
2025-01-08,mobile,referral,75,26,17.0,15.0,12.0
2025-01-08,desktop,referral,37,13,7.0,7.0,7.0
2025-01-08,tablet,referral,12,4,4.0,4.0,4.0
2025-01-08,mobile,social,23,10,4.0,3.0,2.0
2025-01-08,desktop,social,11,3,1.0,1.0,1.0
2025-01-08,tablet,social,3,1,1.0,1.0,0.0
2025-01-09,mobile,organic,108,53,27.0,20.0,19.0
2025-01-09,desktop,organic,54,22,9.0,7.0,5.0
2025-01-09,tablet,organic,18,7,2.0,1.0,1.0
2025-01-09,mobile,paid,63,27,0.0,0.0,0.0
2025-01-09,desktop,paid,31,11,1.0,1.0,1.0
2025-01-09,tablet,paid,10,3,0.0,0.0,0.0
2025-01-09,mobile,referral,63,26,16.0,16.0,12.0
2025-01-09,desktop,referral,31,10,5.0,3.0,2.0
2025-01-09,tablet,referral,10,5,3.0,3.0,3.0
2025-01-09,mobile,social,22,10,3.0,3.0,3.0
2025-01-09,desktop,social,11,9,3.0,3.0,3.0
2025-01-09,tablet,social,3,2,1.0,0.0,0.0
2025-01-10,mobile,organic,87,38,19.0,15.0,13.0
2025-01-10,desktop,organic,43,21,13.0,13.0,13.0
2025-01-10,tablet,organic,14,5,4.0,3.0,3.0
2025-01-10,mobile,paid,56,17,1.0,1.0,0.0
2025-01-10,desktop,paid,28,10,1.0,0.0,0.0
2025-01-10,tablet,paid,9,4,0.0,0.0,0.0
2025-01-10,mobile,referral,72,31,14.0,13.0,11.0
2025-01-10,desktop,referral,36,14,8.0,7.0,6.0
2025-01-10,tablet,referral,12,4,3.0,3.0,3.0
2025-01-10,mobile,social,25,13,11.0,10.0,7.0
2025-01-10,desktop,social,12,5,3.0,3.0,2.0
2025-01-10,tablet,social,4,3,0.0,0.0,0.0
2025-01-11,mobile,organic,111,43,19.0,17.0,12.0
2025-01-11,desktop,organic,55,22,13.0,9.0,5.0
2025-01-11,tablet,organic,18,10,5.0,5.0,5.0
2025-01-11,mobile,paid,68,31,4.0,4.0,2.0
2025-01-11,desktop,paid,34,19,2.0,1.0,1.0
2025-01-11,tablet,paid,11,5,0.0,0.0,0.0
2025-01-11,mobile,referral,63,24,10.0,9.0,6.0
2025-01-11,desktop,referral,31,12,8.0,7.0,5.0
2025-01-11,tablet,referral,10,6,3.0,3.0,2.0
2025-01-11,mobile,social,27,13,3.0,2.0,2.0
2025-01-11,desktop,social,13,4,1.0,1.0,0.0
2025-01-11,tablet,social,4,2,0.0,0.0,0.0
2025-01-12,mobile,organic,81,32,13.0,12.0,8.0
2025-01-12,desktop,organic,40,11,3.0,1.0,1.0
2025-01-12,tablet,organic,13,4,1.0,1.0,1.0
2025-01-12,mobile,paid,87,32,4.0,2.0,1.0
2025-01-12,desktop,paid,43,19,0.0,0.0,0.0
2025-01-12,tablet,paid,14,7,0.0,0.0,0.0
2025-01-12,mobile,referral,69,29,14.0,11.0,10.0
2025-01-12,desktop,referral,34,18,8.0,6.0,5.0
2025-01-12,tablet,referral,11,5,4.0,3.0,2.0
2025-01-12,mobile,social,23,9,5.0,5.0,3.0
2025-01-12,desktop,social,11,4,1.0,1.0,1.0
2025-01-12,tablet,social,3,1,0.0,0.0,0.0
2025-01-13,mobile,organic,105,38,20.0,15.0,8.0
2025-01-13,desktop,organic,52,19,9.0,8.0,8.0
2025-01-13,tablet,organic,17,5,4.0,4.0,4.0
2025-01-13,mobile,paid,78,39,1.0,0.0,0.0
2025-01-13,desktop,paid,39,15,0.0,0.0,0.0
2025-01-13,tablet,paid,13,7,1.0,1.0,0.0
2025-01-13,mobile,referral,84,31,20.0,17.0,15.0
2025-01-13,desktop,referral,42,14,8.0,6.0,5.0
2025-01-13,tablet,referral,14,6,2.0,2.0,2.0
2025-01-13,mobile,social,21,9,5.0,4.0,4.0
2025-01-13,desktop,social,10,2,1.0,1.0,0.0
2025-01-13,tablet,social,3,1,0.0,0.0,0.0
2025-01-14,mobile,organic,84,35,20.0,16.0,16.0
2025-01-14,desktop,organic,42,20,9.0,8.0,7.0
2025-01-14,tablet,organic,14,4,1.0,1.0,1.0
2025-01-14,mobile,paid,72,25,5.0,2.0,0.0
2025-01-14,desktop,paid,36,14,2.0,1.0,1.0
2025-01-14,tablet,paid,12,7,1.0,1.0,0.0
2025-01-14,mobile,referral,70,38,22.0,16.0,13.0
2025-01-14,desktop,referral,35,14,9.0,8.0,8.0
2025-01-14,tablet,referral,11,4,4.0,4.0,4.0
2025-01-14,mobile,social,19,10,1.0,1.0,0.0
2025-01-14,desktop,social,9,6,3.0,3.0,2.0
2025-01-14,tablet,social,3,1,1.0,1.0,1.0
2025-01-15,mobile,organic,90,40,20.0,16.0,14.0
2025-01-15,desktop,organic,45,16,4.0,3.0,2.0
2025-01-15,tablet,organic,15,7,3.0,3.0,3.0
2025-01-15,mobile,paid,73,28,5.0,2.0,2.0
2025-01-15,desktop,paid,36,8,0.0,0.0,0.0
2025-01-15,tablet,paid,12,7,0.0,0.0,0.0
2025-01-15,mobile,referral,78,36,24.0,20.0,18.0
2025-01-15,desktop,referral,39,16,5.0,5.0,5.0
2025-01-15,tablet,referral,13,7,4.0,3.0,2.0
2025-01-15,mobile,social,30,10,7.0,7.0,6.0
2025-01-15,desktop,social,15,9,2.0,2.0,2.0
2025-01-15,tablet,social,5,2,1.0,1.0,1.0
2025-01-16,mobile,organic,84,38,24.0,17.0,16.0
2025-01-16,desktop,organic,42,19,9.0,8.0,7.0
2025-01-16,tablet,organic,14,5,3.0,3.0,3.0
2025-01-16,mobile,paid,71,26,3.0,2.0,0.0
2025-01-16,desktop,paid,35,13,1.0,1.0,1.0
2025-01-16,tablet,paid,11,5,1.0,0.0,0.0
2025-01-16,mobile,referral,75,30,16.0,14.0,11.0
2025-01-16,desktop,referral,37,20,13.0,11.0,11.0
2025-01-16,tablet,referral,12,6,3.0,2.0,1.0
2025-01-16,mobile,social,26,10,4.0,4.0,4.0
2025-01-16,desktop,social,13,4,2.0,2.0,1.0
2025-01-16,tablet,social,4,1,0.0,0.0,0.0
2025-01-17,mobile,organic,114,50,32.0,23.0,21.0
2025-01-17,desktop,organic,57,24,14.0,11.0,11.0
2025-01-17,tablet,organic,19,5,2.0,1.0,1.0
2025-01-17,mobile,paid,72,29,2.0,0.0,0.0
2025-01-17,desktop,paid,36,16,1.0,0.0,0.0
2025-01-17,tablet,paid,12,4,0.0,0.0,0.0
2025-01-17,mobile,referral,68,27,20.0,18.0,12.0
2025-01-17,desktop,referral,34,19,12.0,12.0,11.0
2025-01-17,tablet,referral,11,4,2.0,1.0,1.0
2025-01-17,mobile,social,22,10,5.0,5.0,3.0
2025-01-17,desktop,social,11,6,3.0,3.0,3.0
2025-01-17,tablet,social,3,1,1.0,1.0,1.0
2025-01-18,mobile,organic,100,40,18.0,13.0,13.0
2025-01-18,desktop,organic,50,20,14.0,13.0,11.0
2025-01-18,tablet,organic,16,6,0.0,0.0,0.0
2025-01-18,mobile,paid,79,34,2.0,1.0,1.0
2025-01-18,desktop,paid,39,18,2.0,0.0,0.0
2025-01-18,tablet,paid,13,3,0.0,0.0,0.0
2025-01-18,mobile,referral,68,29,15.0,11.0,8.0
2025-01-18,desktop,referral,34,15,7.0,7.0,7.0
2025-01-18,tablet,referral,11,2,1.0,1.0,1.0
2025-01-18,mobile,social,16,3,3.0,3.0,3.0
2025-01-18,desktop,social,8,2,1.0,1.0,1.0
2025-01-18,tablet,social,2,0,0.0,0.0,0.0
2025-01-19,mobile,organic,87,35,22.0,17.0,17.0
2025-01-19,desktop,organic,43,17,1.0,0.0,0.0
2025-01-19,tablet,organic,14,8,5.0,3.0,3.0
2025-01-19,mobile,paid,85,31,1.0,0.0,0.0
2025-01-19,desktop,paid,42,15,1.0,0.0,0.0
2025-01-19,tablet,paid,14,5,0.0,0.0,0.0
2025-01-19,mobile,referral,64,23,13.0,9.0,6.0
2025-01-19,desktop,referral,32,12,9.0,7.0,6.0
2025-01-19,tablet,referral,10,3,2.0,1.0,1.0
2025-01-19,mobile,social,22,10,2.0,2.0,2.0
2025-01-19,desktop,social,11,3,1.0,1.0,1.0
2025-01-19,tablet,social,3,0,0.0,0.0,0.0
2025-01-20,mobile,organic,105,46,22.0,18.0,17.0
2025-01-20,desktop,organic,52,20,7.0,5.0,4.0
2025-01-20,tablet,organic,17,5,3.0,3.0,2.0
2025-01-20,mobile,paid,77,26,2.0,0.0,0.0
2025-01-20,desktop,paid,38,13,1.0,1.0,0.0
2025-01-20,tablet,paid,12,2,0.0,0.0,0.0
2025-01-20,mobile,referral,81,42,20.0,17.0,15.0
2025-01-20,desktop,referral,40,17,7.0,6.0,5.0
2025-01-20,tablet,referral,13,8,7.0,7.0,7.0
2025-01-20,mobile,social,21,9,5.0,4.0,3.0
2025-01-20,desktop,social,10,6,1.0,1.0,1.0
2025-01-20,tablet,social,3,0,0.0,0.0,0.0
2025-01-21,mobile,organic,108,50,24.0,19.0,19.0
2025-01-21,desktop,organic,54,20,14.0,11.0,10.0
2025-01-21,tablet,organic,18,6,2.0,2.0,2.0
2025-01-21,mobile,paid,85,44,10.0,2.0,0.0
2025-01-21,desktop,paid,42,20,3.0,0.0,0.0
2025-01-21,tablet,paid,14,3,0.0,0.0,0.0
2025-01-21,mobile,referral,70,27,16.0,13.0,12.0
2025-01-21,desktop,referral,35,12,7.0,5.0,4.0
2025-01-21,tablet,referral,11,4,2.0,2.0,1.0
2025-01-21,mobile,social,28,16,7.0,6.0,6.0
2025-01-21,desktop,social,14,4,0.0,0.0,0.0
2025-01-21,tablet,social,4,2,1.0,0.0,0.0
2025-01-22,mobile,organic,97,47,21.0,18.0,17.0
2025-01-22,desktop,organic,48,23,10.0,9.0,9.0
2025-01-22,tablet,organic,16,7,5.0,4.0,4.0
2025-01-22,mobile,paid,67,29,4.0,1.0,0.0
2025-01-22,desktop,paid,33,13,1.0,0.0,0.0
2025-01-22,tablet,paid,11,4,1.0,0.0,0.0
2025-01-22,mobile,referral,70,26,17.0,14.0,9.0
2025-01-22,desktop,referral,35,10,2.0,1.0,1.0
2025-01-22,tablet,referral,11,3,2.0,2.0,2.0
2025-01-22,mobile,social,30,10,5.0,5.0,5.0
2025-01-22,desktop,social,15,4,0.0,0.0,0.0
2025-01-22,tablet,social,5,2,0.0,0.0,0.0
2025-01-23,mobile,organic,89,34,17.0,11.0,7.0
2025-01-23,desktop,organic,44,19,9.0,5.0,4.0
2025-01-23,tablet,organic,14,5,4.0,3.0,3.0
2025-01-23,mobile,paid,81,40,4.0,1.0,1.0
2025-01-23,desktop,paid,40,16,0.0,0.0,0.0
2025-01-23,tablet,paid,13,6,1.0,0.0,0.0
2025-01-23,mobile,referral,73,26,13.0,11.0,9.0
2025-01-23,desktop,referral,36,14,9.0,9.0,7.0
2025-01-23,tablet,referral,12,0,0.0,0.0,0.0
2025-01-23,mobile,social,18,9,5.0,5.0,3.0
2025-01-23,desktop,social,9,1,1.0,1.0,1.0
2025-01-23,tablet,social,3,1,1.0,1.0,1.0
2025-01-24,mobile,organic,101,52,25.0,18.0,15.0
2025-01-24,desktop,organic,50,21,7.0,5.0,5.0
2025-01-24,tablet,organic,16,4,3.0,2.0,2.0
2025-01-24,mobile,paid,84,38,4.0,3.0,2.0
2025-01-24,desktop,paid,42,14,0.0,0.0,0.0
2025-01-24,tablet,paid,14,8,1.0,0.0,0.0
2025-01-24,mobile,referral,66,28,17.0,16.0,14.0
2025-01-24,desktop,referral,33,14,9.0,8.0,7.0
2025-01-24,tablet,referral,11,4,3.0,3.0,2.0
2025-01-24,mobile,social,24,7,4.0,4.0,2.0
2025-01-24,desktop,social,12,7,3.0,3.0,2.0
2025-01-24,tablet,social,4,2,2.0,2.0,2.0
2025-01-25,mobile,organic,93,40,25.0,21.0,19.0
2025-01-25,desktop,organic,46,24,12.0,9.0,9.0
2025-01-25,tablet,organic,15,6,4.0,4.0,3.0
2025-01-25,mobile,paid,79,33,2.0,1.0,0.0
2025-01-25,desktop,paid,39,16,2.0,1.0,1.0
2025-01-25,tablet,paid,13,7,1.0,0.0,0.0
2025-01-25,mobile,referral,70,28,17.0,13.0,10.0
2025-01-25,desktop,referral,35,17,11.0,10.0,8.0
2025-01-25,tablet,referral,11,6,4.0,3.0,3.0
2025-01-25,mobile,social,26,9,3.0,3.0,3.0
2025-01-25,desktop,social,13,7,4.0,4.0,4.0
2025-01-25,tablet,social,4,3,1.0,1.0,1.0
2025-01-26,mobile,organic,89,45,24.0,21.0,17.0
2025-01-26,desktop,organic,44,16,10.0,9.0,6.0
2025-01-26,tablet,organic,14,4,2.0,2.0,2.0
2025-01-26,mobile,paid,90,34,5.0,3.0,1.0
2025-01-26,desktop,paid,45,14,1.0,0.0,0.0
2025-01-26,tablet,paid,15,10,1.0,1.0,1.0
2025-01-26,mobile,referral,64,26,10.0,8.0,8.0
2025-01-26,desktop,referral,32,13,6.0,5.0,4.0
2025-01-26,tablet,referral,10,6,3.0,2.0,2.0
2025-01-26,mobile,social,24,10,5.0,5.0,5.0
2025-01-26,desktop,social,12,7,2.0,2.0,1.0
2025-01-26,tablet,social,4,3,1.0,1.0,1.0
2025-01-27,mobile,organic,72,34,18.0,17.0,16.0
2025-01-27,desktop,organic,36,14,8.0,6.0,5.0
2025-01-27,tablet,organic,12,4,2.0,2.0,1.0
2025-01-27,mobile,paid,96,38,6.0,4.0,1.0
2025-01-27,desktop,paid,48,22,4.0,2.0,0.0
2025-01-27,tablet,paid,16,7,3.0,0.0,0.0
2025-01-27,mobile,referral,63,21,14.0,12.0,7.0
2025-01-27,desktop,referral,31,12,7.0,6.0,6.0
2025-01-27,tablet,referral,10,6,4.0,3.0,3.0
2025-01-27,mobile,social,16,6,4.0,3.0,2.0
2025-01-27,desktop,social,8,3,1.0,1.0,1.0
2025-01-27,tablet,social,2,0,0.0,0.0,0.0
2025-01-28,mobile,organic,93,39,24.0,24.0,22.0
2025-01-28,desktop,organic,46,15,7.0,6.0,6.0
2025-01-28,tablet,organic,15,6,1.0,1.0,1.0
2025-01-28,mobile,paid,78,32,8.0,1.0,0.0
2025-01-28,desktop,paid,39,15,4.0,0.0,0.0
2025-01-28,tablet,paid,13,10,1.0,0.0,0.0
2025-01-28,mobile,referral,62,23,15.0,14.0,12.0
2025-01-28,desktop,referral,31,12,5.0,3.0,2.0
2025-01-28,tablet,referral,10,6,4.0,2.0,2.0
2025-01-28,mobile,social,24,12,5.0,4.0,3.0
2025-01-28,desktop,social,12,5,2.0,2.0,1.0
2025-01-28,tablet,social,4,0,0.0,0.0,0.0
2025-01-29,mobile,organic,88,41,21.0,17.0,16.0
2025-01-29,desktop,organic,44,14,8.0,6.0,6.0
2025-01-29,tablet,organic,14,3,3.0,3.0,2.0
2025-01-29,mobile,paid,90,38,4.0,1.0,0.0
2025-01-29,desktop,paid,45,15,0.0,0.0,0.0
2025-01-29,tablet,paid,15,5,1.0,0.0,0.0
2025-01-29,mobile,referral,60,22,13.0,13.0,11.0
2025-01-29,desktop,referral,30,14,8.0,6.0,6.0
2025-01-29,tablet,referral,10,2,0.0,0.0,0.0
2025-01-29,mobile,social,21,6,1.0,1.0,1.0
2025-01-29,desktop,social,10,5,1.0,1.0,1.0
2025-01-29,tablet,social,3,2,2.0,2.0,2.0
2025-01-30,mobile,organic,81,30,11.0,9.0,8.0
2025-01-30,desktop,organic,40,10,5.0,5.0,5.0
2025-01-30,tablet,organic,13,4,4.0,4.0,4.0
2025-01-30,mobile,paid,66,26,3.0,2.0,0.0
2025-01-30,desktop,paid,33,14,2.0,0.0,0.0
2025-01-30,tablet,paid,11,9,0.0,0.0,0.0
2025-01-30,mobile,referral,67,29,17.0,12.0,9.0
2025-01-30,desktop,referral,33,12,10.0,6.0,6.0
2025-01-30,tablet,referral,11,7,5.0,4.0,3.0
2025-01-30,mobile,social,31,16,7.0,6.0,3.0
2025-01-30,desktop,social,15,6,2.0,2.0,1.0
2025-01-30,tablet,social,5,1,0.0,0.0,0.0
2025-01-31,mobile,organic,88,36,16.0,14.0,13.0
2025-01-31,desktop,organic,44,23,10.0,8.0,8.0
2025-01-31,tablet,organic,14,6,4.0,4.0,4.0
2025-01-31,mobile,paid,88,28,2.0,1.0,1.0
2025-01-31,desktop,paid,44,15,3.0,2.0,0.0
2025-01-31,tablet,paid,14,6,1.0,0.0,0.0
2025-01-31,mobile,referral,63,24,11.0,11.0,8.0
2025-01-31,desktop,referral,31,10,5.0,5.0,4.0
2025-01-31,tablet,referral,10,3,2.0,2.0,2.0
2025-01-31,mobile,social,27,10,3.0,2.0,2.0
2025-01-31,desktop,social,13,6,3.0,3.0,2.0
2025-01-31,tablet,social,4,2,0.0,0.0,0.0
2025-02-01,mobile,organic,88,39,20.0,16.0,16.0
2025-02-01,desktop,organic,44,26,15.0,14.0,12.0
2025-02-01,tablet,organic,14,7,2.0,2.0,2.0
2025-02-01,mobile,paid,82,33,5.0,3.0,2.0
2025-02-01,desktop,paid,41,11,1.0,1.0,1.0
2025-02-01,tablet,paid,13,6,0.0,0.0,0.0
2025-02-01,mobile,referral,67,23,8.0,6.0,6.0
2025-02-01,desktop,referral,33,10,5.0,3.0,2.0
2025-02-01,tablet,referral,11,4,4.0,3.0,3.0
2025-02-01,mobile,social,27,12,7.0,7.0,6.0
2025-02-01,desktop,social,13,6,1.0,1.0,0.0
2025-02-01,tablet,social,4,1,1.0,1.0,1.0
2025-02-02,mobile,organic,78,33,14.0,8.0,7.0
2025-02-02,desktop,organic,39,19,10.0,6.0,5.0
2025-02-02,tablet,organic,13,5,4.0,3.0,3.0
2025-02-02,mobile,paid,86,32,2.0,1.0,0.0
2025-02-02,desktop,paid,43,19,2.0,2.0,1.0
2025-02-02,tablet,paid,14,7,0.0,0.0,0.0
2025-02-02,mobile,referral,57,24,12.0,7.0,4.0
2025-02-02,desktop,referral,28,10,5.0,5.0,3.0
2025-02-02,tablet,referral,9,4,2.0,2.0,2.0
2025-02-02,mobile,social,24,8,3.0,2.0,2.0
2025-02-02,desktop,social,12,7,3.0,3.0,3.0
2025-02-02,tablet,social,4,1,0.0,0.0,0.0
2025-02-03,mobile,organic,89,42,19.0,12.0,12.0
2025-02-03,desktop,organic,44,19,9.0,7.0,6.0
2025-02-03,tablet,organic,14,5,5.0,3.0,3.0
2025-02-03,mobile,paid,76,25,3.0,1.0,1.0
2025-02-03,desktop,paid,38,19,3.0,0.0,0.0
2025-02-03,tablet,paid,12,2,1.0,1.0,0.0
2025-02-03,mobile,referral,52,24,14.0,12.0,11.0
2025-02-03,desktop,referral,26,13,9.0,9.0,8.0
2025-02-03,tablet,referral,8,4,1.0,1.0,1.0
2025-02-03,mobile,social,13,6,2.0,2.0,1.0
2025-02-03,desktop,social,6,3,0.0,0.0,0.0
2025-02-03,tablet,social,2,1,0.0,0.0,0.0
2025-02-04,mobile,organic,88,41,20.0,17.0,15.0
2025-02-04,desktop,organic,44,14,8.0,4.0,3.0
2025-02-04,tablet,organic,14,5,2.0,2.0,2.0
2025-02-04,mobile,paid,91,39,4.0,0.0,0.0
2025-02-04,desktop,paid,45,21,3.0,0.0,0.0
2025-02-04,tablet,paid,15,4,0.0,0.0,0.0
2025-02-04,mobile,referral,56,22,13.0,10.0,7.0
2025-02-04,desktop,referral,28,16,7.0,5.0,1.0
2025-02-04,tablet,referral,9,3,0.0,0.0,0.0
2025-02-04,mobile,social,21,9,0.0,0.0,0.0
2025-02-04,desktop,social,10,3,0.0,0.0,0.0
2025-02-04,tablet,social,3,3,2.0,2.0,2.0
