Day,Device,Browser,Channel,Visitors,Signups
2025-04-09,desktop,edge,email,1174,55
2025-04-09,desktop,edge,organic,1176,72
2025-04-09,desktop,edge,paid,3734,167
2025-04-09,desktop,edge,social,5959,436
2025-04-09,desktop,firefox,email,1569,72
2025-04-09,desktop,firefox,organic,1554,111
2025-04-09,desktop,firefox,paid,4641,212
2025-04-09,desktop,firefox,social,7747,645
2025-04-09,desktop,opera,email,2083,76
2025-04-09,desktop,opera,organic,2094,128
2025-04-09,desktop,opera,paid,6272,213
2025-04-09,desktop,opera,social,10341,649
2025-04-09,desktop,safari,email,2757,133
2025-04-09,desktop,safari,organic,2781,208
2025-04-09,desktop,safari,paid,8450,425
2025-04-09,desktop,safari,social,14118,1193
2025-04-09,mobile,chrome,email,4406,189
2025-04-09,mobile,chrome,organic,4441,299
2025-04-09,mobile,chrome,paid,13339,558
2025-04-09,mobile,chrome,social,22145,1438
2025-04-09,mobile,edge,email,1090,25
2025-04-09,mobile,edge,organic,1087,44
2025-04-09,mobile,edge,paid,3376,108
2025-04-09,mobile,edge,social,5571,286
2025-04-09,mobile,firefox,email,1395,47
2025-04-09,mobile,firefox,organic,1424,69
2025-04-09,mobile,firefox,paid,4276,173
2025-04-09,mobile,firefox,social,7191,432
2025-04-09,mobile,opera,email,1848,55
2025-04-09,mobile,opera,organic,1878,70
2025-04-09,mobile,opera,paid,5701,155
2025-04-09,mobile,opera,social,9524,449
2025-04-09,mobile,safari,email,2409,94
2025-04-09,mobile,safari,organic,2526,136
2025-04-09,mobile,safari,paid,7615,292
2025-04-09,mobile,safari,social,12736,837
2025-04-09,tablet,chrome,email,1111,63
2025-04-09,tablet,chrome,organic,1219,115
2025-04-09,tablet,chrome,paid,3501,166
2025-04-09,tablet,chrome,social,5802,490
2025-04-09,tablet,edge,email,308,14
2025-04-09,tablet,edge,organic,287,18
2025-04-09,tablet,edge,paid,909,29
2025-04-09,tablet,edge,social,1470,95
2025-04-09,tablet,firefox,email,318,11
2025-04-09,tablet,firefox,organic,365,18
2025-04-09,tablet,firefox,paid,1173,46
2025-04-09,tablet,firefox,social,1894,120
2025-04-09,tablet,opera,email,487,15
2025-04-09,tablet,opera,organic,472,27
2025-04-09,tablet,opera,paid,1426,38
2025-04-09,tablet,opera,social,2510,133
2025-04-09,tablet,safari,email,714,25
2025-04-09,tablet,safari,organic,619,50
2025-04-09,tablet,safari,paid,2131,98
2025-04-09,tablet,safari,social,3414,271
2025-04-10,desktop,chrome,email,2497,204
2025-04-10,desktop,chrome,organic,2905,374
2025-04-10,desktop,chrome,paid,7751,694
2025-04-10,desktop,chrome,social,13387,1957
2025-04-10,desktop,edge,email,1187,81
2025-04-10,desktop,edge,organic,1194,95
2025-04-10,desktop,edge,paid,3400,208
2025-04-10,desktop,edge,social,5897,591
2025-04-10,desktop,firefox,email,1057,73
2025-04-10,desktop,firefox,organic,1135,118
2025-04-10,desktop,firefox,paid,2951,219
2025-04-10,desktop,firefox,social,5173,598
2025-04-10,desktop,opera,email,554,33
2025-04-10,desktop,opera,organic,578,51
2025-04-10,desktop,opera,paid,1684,109
2025-04-10,desktop,opera,social,2909,269
2025-04-10,desktop,safari,email,1411,101
2025-04-10,desktop,safari,organic,1566,172
2025-04-10,desktop,safari,paid,4095,336
2025-04-10,desktop,safari,social,6985,895
2025-04-10,mobile,chrome,email,6885,418
2025-04-10,mobile,chrome,organic,7909,747
2025-04-10,mobile,chrome,paid,20645,1334
2025-04-10,mobile,chrome,social,35507,3494
2025-04-10,mobile,edge,email,2917,166
2025-04-10,mobile,edge,organic,3291,241
2025-04-10,mobile,edge,paid,9067,425
2025-04-10,mobile,edge,social,15467,1214
2025-04-10,mobile,firefox,email,2724,157
2025-04-10,mobile,firefox,organic,2962,240
2025-04-10,mobile,firefox,paid,7876,440
2025-04-10,mobile,firefox,social,13917,1173
2025-04-10,mobile,opera,email,1502,61
2025-04-10,mobile,opera,organic,1687,115
2025-04-10,mobile,opera,paid,4462,200
2025-04-10,mobile,opera,social,7882,517
2025-04-10,mobile,safari,email,3789,231
2025-04-10,mobile,safari,organic,4082,385
2025-04-10,mobile,safari,paid,11001,605
2025-04-10,mobile,safari,social,19160,1794
2025-04-10,tablet,chrome,email,765,60
2025-04-10,tablet,chrome,organic,787,91
2025-04-10,tablet,chrome,paid,2146,143
2025-04-10,tablet,chrome,social,3752,431
2025-04-10,tablet,edge,email,314,20
2025-04-10,tablet,edge,organic,359,33
2025-04-10,tablet,edge,paid,995,54
2025-04-10,tablet,edge,social,1628,167
2025-04-10,tablet,firefox,email,269,16
2025-04-10,tablet,firefox,organic,306,26
2025-04-10,tablet,firefox,paid,826,52
2025-04-10,tablet,firefox,social,1498,154
2025-04-10,tablet,opera,email,149,9
2025-04-10,tablet,opera,organic,153,11
2025-04-10,tablet,opera,paid,466,36
2025-04-10,tablet,opera,social,785,52
2025-04-10,tablet,safari,email,386,35
2025-04-10,tablet,safari,organic,474,45
2025-04-10,tablet,safari,paid,1109,75
2025-04-10,tablet,safari,social,1986,229
2025-04-11,desktop,chrome,email,8616,551
2025-04-11,desktop,chrome,organic,8451,822
2025-04-11,desktop,chrome,paid,24365,1619
2025-04-11,desktop,chrome,social,40704,4419
2025-04-11,desktop,edge,email,1663,77
2025-04-11,desktop,edge,organic,1644,132
2025-04-11,desktop,edge,paid,4937,273
2025-04-11,desktop,edge,social,8051,662
2025-04-11,desktop,firefox,email,4106,227
2025-04-11,desktop,firefox,organic,3830,334
2025-04-11,desktop,firefox,paid,11634,634
2025-04-11,desktop,firefox,social,19108,1851
2025-04-11,desktop,opera,email,1516,68
2025-04-11,desktop,opera,organic,1521,112
2025-04-11,desktop,opera,paid,4408,179
2025-04-11,desktop,opera,social,7235,491
2025-04-11,desktop,safari,email,2849,173
2025-04-11,desktop,safari,organic,2755,253
2025-04-11,desktop,safari,paid,7929,511
2025-04-11,desktop,safari,social,13140,1286
2025-04-11,mobile,chrome,email,6930,322
2025-04-11,mobile,chrome,organic,6720,494
2025-04-11,mobile,chrome,paid,19622,964
2025-04-11,mobile,chrome,social,32958,2659
2025-04-11,mobile,edge,email,1358,49
2025-04-11,mobile,edge,organic,1273,61
2025-04-11,mobile,edge,paid,3908,146
2025-04-11,mobile,edge,social,6582,357
2025-04-11,mobile,firefox,email,3328,151
2025-04-11,mobile,firefox,organic,3231,196
2025-04-11,mobile,firefox,paid,9410,387
2025-04-11,mobile,firefox,social,15691,1111
2025-04-11,mobile,opera,email,1259,65
2025-04-11,mobile,opera,organic,1191,48
2025-04-11,mobile,opera,paid,3418,101
2025-04-11,mobile,opera,social,5752,280
2025-04-11,mobile,safari,email,2366,92
2025-04-11,mobile,safari,organic,2166,136
2025-04-11,mobile,safari,paid,6480,314
2025-04-11,mobile,safari,social,10785,798
2025-04-11,tablet,chrome,email,1354,76
2025-04-11,tablet,chrome,organic,1236,106
2025-04-11,tablet,chrome,paid,3681,192
2025-04-11,tablet,chrome,social,6313,653
2025-04-11,tablet,edge,email,232,8
2025-04-11,tablet,edge,organic,264,18
2025-04-11,tablet,edge,paid,752,43
2025-04-11,tablet,edge,social,1212,76
2025-04-11,tablet,firefox,email,619,30
2025-04-11,tablet,firefox,organic,546,35
2025-04-11,tablet,firefox,paid,1758,101
2025-04-11,tablet,firefox,social,2912,234
2025-04-11,tablet,opera,email,222,9
2025-04-11,tablet,opera,organic,203,14
2025-04-11,tablet,opera,paid,657,24
2025-04-11,tablet,opera,social,1039,66
2025-04-11,tablet,safari,email,415,28
2025-04-11,tablet,safari,organic,435,39
2025-04-11,tablet,safari,paid,1184,59
2025-04-11,tablet,safari,social,2083,164
2025-04-12,desktop,chrome,email,5049,430
2025-04-12,desktop,chrome,organic,4784,601
2025-04-12,desktop,chrome,paid,14034,1228
2025-04-12,desktop,chrome,social,22962,3186
2025-04-12,desktop,edge,email,880,66
2025-04-12,desktop,edge,organic,814,89
2025-04-12,desktop,edge,paid,2321,154
2025-04-12,desktop,edge,social,3817,384
2025-04-12,desktop,firefox,email,1316,85
2025-04-12,desktop,firefox,organic,1221,136
2025-04-12,desktop,firefox,paid,3568,278
2025-04-12,desktop,firefox,social,5972,690
2025-04-12,desktop,opera,email,749,39
2025-04-12,desktop,opera,organic,715,66
2025-04-12,desktop,opera,paid,2078,123
2025-04-12,desktop,opera,social,3449,316
2025-04-12,desktop,safari,email,1717,148
2025-04-12,desktop,safari,organic,1689,222
2025-04-12,desktop,safari,paid,4831,369
2025-04-12,desktop,safari,social,7993,1067
2025-04-12,mobile,chrome,email,5191,368
2025-04-12,mobile,chrome,organic,5056,484
2025-04-12,mobile,chrome,paid,14705,944
2025-04-12,mobile,chrome,social,24222,2506
2025-04-12,mobile,edge,email,882,48
2025-04-12,mobile,edge,organic,855,49
2025-04-12,mobile,edge,paid,2442,129
2025-04-12,mobile,edge,social,4048,317
2025-04-12,mobile,firefox,email,1315,72
2025-04-12,mobile,firefox,organic,1283,103
2025-04-12,mobile,firefox,paid,3782,208
2025-04-12,mobile,firefox,social,6164,532
2025-04-12,mobile,opera,email,780,36
2025-04-12,mobile,opera,organic,775,57
2025-04-12,mobile,opera,paid,2215,109
2025-04-12,mobile,opera,social,3602,258
2025-04-12,mobile,safari,email,1904,115
2025-04-12,mobile,safari,organic,1719,163
2025-04-12,mobile,safari,paid,5166,308
2025-04-12,mobile,safari,social,8370,776
2025-04-12,tablet,chrome,email,1764,122
2025-04-12,tablet,chrome,organic,1709,184
2025-04-12,tablet,chrome,paid,4834,380
2025-04-12,tablet,chrome,social,7929,948
2025-04-12,tablet,edge,email,290,14
2025-04-12,tablet,edge,organic,301,17
2025-04-12,tablet,edge,paid,794,47
2025-04-12,tablet,edge,social,1337,118
2025-04-12,tablet,firefox,email,437,38
2025-04-12,tablet,firefox,organic,432,37
2025-04-12,tablet,firefox,paid,1304,94
2025-04-12,tablet,firefox,social,2020,208
2025-04-12,tablet,opera,email,250,18
2025-04-12,tablet,opera,organic,240,19
2025-04-12,tablet,opera,paid,796,31
2025-04-12,tablet,opera,social,1190,90
2025-04-12,tablet,safari,email,626,42
2025-04-12,tablet,safari,organic,566,59
2025-04-12,tablet,safari,paid,1658,103
2025-04-12,tablet,safari,social,2735,327
2025-04-13,desktop,chrome,email,3073,217
2025-04-13,desktop,chrome,organic,2793,322
2025-04-13,desktop,chrome,paid,8829,659
2025-04-13,desktop,chrome,social,13013,1513
2025-04-13,desktop,edge,email,1245,71
2025-04-13,desktop,edge,organic,1131,113
2025-04-13,desktop,edge,paid,3520,184
2025-04-13,desktop,edge,social,5120,466
2025-04-13,desktop,firefox,email,2228,166
2025-04-13,desktop,firefox,organic,2053,179
2025-04-13,desktop,firefox,paid,6171,374
2025-04-13,desktop,firefox,social,9206,951
2025-04-13,desktop,opera,email,745,30
2025-04-13,desktop,opera,organic,703,53
2025-04-13,desktop,opera,paid,2094,107
2025-04-13,desktop,opera,social,2993,260
2025-04-13,desktop,safari,email,2565,144
2025-04-13,desktop,safari,organic,2340,201
2025-04-13,desktop,safari,paid,7257,505
2025-04-13,desktop,safari,social,10753,1168
2025-04-13,mobile,chrome,email,2300,117
2025-04-13,mobile,chrome,organic,2164,174
2025-04-13,mobile,chrome,paid,6608,363
2025-04-13,mobile,chrome,social,9606,832
2025-04-13,mobile,edge,email,919,41
2025-04-13,mobile,edge,organic,816,55
2025-04-13,mobile,edge,paid,2633,105
2025-04-13,mobile,edge,social,3863,263
2025-04-13,mobile,firefox,email,1648,72
2025-04-13,mobile,firefox,organic,1620,108
2025-04-13,mobile,firefox,paid,4691,226
2025-04-13,mobile,firefox,social,6965,507
2025-04-13,mobile,opera,email,601,15
2025-04-13,mobile,opera,organic,561,31
2025-04-13,mobile,opera,paid,1566,63
2025-04-13,mobile,opera,social,2344,141
2025-04-13,mobile,safari,email,1948,77
2025-04-13,mobile,safari,organic,1805,142
2025-04-13,mobile,safari,paid,5357,255
2025-04-13,mobile,safari,social,7895,640
2025-04-13,tablet,chrome,email,1206,75
2025-04-13,tablet,chrome,organic,1090,103
2025-04-13,tablet,chrome,paid,3480,237
2025-04-13,tablet,chrome,social,4935,525
2025-04-13,tablet,edge,email,508,24
2025-04-13,tablet,edge,organic,446,30
2025-04-13,tablet,edge,paid,1342,51
2025-04-13,tablet,edge,social,2057,146
2025-04-13,tablet,firefox,email,903,55
2025-04-13,tablet,firefox,organic,866,81
2025-04-13,tablet,firefox,paid,2523,130
2025-04-13,tablet,firefox,social,3607,296
2025-04-13,tablet,opera,email,283,7
2025-04-13,tablet,opera,organic,255,19
2025-04-13,tablet,opera,paid,863,40
2025-04-13,tablet,opera,social,1234,93
2025-04-13,tablet,safari,email,985,56
2025-04-13,tablet,safari,organic,976,91
2025-04-13,tablet,safari,paid,2800,174
2025-04-13,tablet,safari,social,4240,432
2025-04-14,desktop,chrome,email,3158,204
2025-04-14,desktop,chrome,organic,3077,282
2025-04-14,desktop,chrome,paid,9086,559
2025-04-14,desktop,chrome,social,16698,1788
2025-04-14,desktop,edge,email,1131,53
2025-04-14,desktop,edge,organic,1025,71
2025-04-14,desktop,edge,paid,3105,155
2025-04-14,desktop,edge,social,5960,503
2025-04-14,desktop,firefox,email,1810,104
2025-04-14,desktop,firefox,organic,1788,147
2025-04-14,desktop,firefox,paid,5366,324
2025-04-14,desktop,firefox,social,10046,945
2025-04-14,desktop,opera,email,771,40
2025-04-14,desktop,opera,organic,705,48
2025-04-14,desktop,opera,paid,2122,98
2025-04-14,desktop,opera,social,3876,292
2025-04-14,desktop,safari,email,2132,156
2025-04-14,desktop,safari,organic,2026,176
2025-04-14,desktop,safari,paid,5979,331
2025-04-14,desktop,safari,social,11083,1140
2025-04-14,mobile,chrome,email,6895,315
2025-04-14,mobile,chrome,organic,6648,477
2025-04-14,mobile,chrome,paid,20135,1000
2025-04-14,mobile,chrome,social,37417,3002
2025-04-14,mobile,edge,email,2506,101
2025-04-14,mobile,edge,organic,2392,148
2025-04-14,mobile,edge,paid,7052,286
2025-04-14,mobile,edge,social,13164,830
2025-04-14,mobile,firefox,email,4044,180
2025-04-14,mobile,firefox,organic,3981,223
2025-04-14,mobile,firefox,paid,11827,494
2025-04-14,mobile,firefox,social,22030,1497
2025-04-14,mobile,opera,email,1622,66
2025-04-14,mobile,opera,organic,1556,80
2025-04-14,mobile,opera,paid,4720,163
2025-04-14,mobile,opera,social,8700,464
2025-04-14,mobile,safari,email,4674,214
2025-04-14,mobile,safari,organic,4351,290
2025-04-14,mobile,safari,paid,13404,609
2025-04-14,mobile,safari,social,24811,1851
2025-04-14,tablet,chrome,email,1097,56
2025-04-14,tablet,chrome,organic,978,84
2025-04-14,tablet,chrome,paid,3060,174
2025-04-14,tablet,chrome,social,5522,530
2025-04-14,tablet,edge,email,381,15
2025-04-14,tablet,edge,organic,368,20
2025-04-14,tablet,edge,paid,1081,52
2025-04-14,tablet,edge,social,2028,145
2025-04-14,tablet,firefox,email,600,26
2025-04-14,tablet,firefox,organic,578,59
2025-04-14,tablet,firefox,paid,1813,91
2025-04-14,tablet,firefox,social,3379,275
2025-04-14,tablet,opera,email,252,10
2025-04-14,tablet,opera,organic,254,13
2025-04-14,tablet,opera,paid,722,33
2025-04-14,tablet,opera,social,1310,83
2025-04-14,tablet,safari,email,753,39
2025-04-14,tablet,safari,organic,704,55
2025-04-14,tablet,safari,paid,2041,108
2025-04-14,tablet,safari,social,3782,316
2025-04-15,desktop,chrome,email,4590,324
2025-04-15,desktop,chrome,organic,4914,525
2025-04-15,desktop,chrome,paid,13809,987
2025-04-15,desktop,chrome,social,23759,2813
2025-04-15,desktop,edge,email,1391,79
2025-04-15,desktop,edge,organic,1475,110
2025-04-15,desktop,edge,paid,4192,228
2025-04-15,desktop,edge,social,7231,619
2025-04-15,desktop,firefox,email,1945,117
2025-04-15,desktop,firefox,organic,2183,196
2025-04-15,desktop,firefox,paid,6037,359
2025-04-15,desktop,firefox,social,10518,1084
2025-04-15,desktop,opera,email,1143,44
2025-04-15,desktop,opera,organic,1201,92
2025-04-15,desktop,opera,paid,3545,166
2025-04-15,desktop,opera,social,6033,501
2025-04-15,desktop,safari,email,2263,160
2025-04-15,desktop,safari,organic,2542,256
2025-04-15,desktop,safari,paid,7228,512
2025-04-15,desktop,safari,social,12243,1374
2025-04-15,mobile,chrome,email,5935,306
2025-04-15,mobile,chrome,organic,6442,503
2025-04-15,mobile,chrome,paid,18184,957
2025-04-15,mobile,chrome,social,30765,2686
2025-04-15,mobile,edge,email,1711,80
2025-04-15,mobile,edge,organic,1903,107
2025-04-15,mobile,edge,paid,5468,215
2025-04-15,mobile,edge,social,9442,563
2025-04-15,mobile,firefox,email,2561,130
2025-04-15,mobile,firefox,organic,2759,169
2025-04-15,mobile,firefox,paid,7728,329
2025-04-15,mobile,firefox,social,13621,975
2025-04-15,mobile,opera,email,1535,58
2025-04-15,mobile,opera,organic,1558,86
2025-04-15,mobile,opera,paid,4452,137
2025-04-15,mobile,opera,social,7809,431
2025-04-15,mobile,safari,email,3071,177
2025-04-15,mobile,safari,organic,3226,215
2025-04-15,mobile,safari,paid,9415,432
2025-04-15,mobile,safari,social,15971,1182
2025-04-15,tablet,chrome,email,973,63
2025-04-15,tablet,chrome,organic,1009,93
2025-04-15,tablet,chrome,paid,2788,170
2025-04-15,tablet,chrome,social,4984,500
2025-04-15,tablet,edge,email,282,13
2025-04-15,tablet,edge,organic,314,18
2025-04-15,tablet,edge,paid,935,49
2025-04-15,tablet,edge,social,1497,94
2025-04-15,tablet,firefox,email,366,20
2025-04-15,tablet,firefox,organic,459,49
2025-04-15,tablet,firefox,paid,1316,68
2025-04-15,tablet,firefox,social,2222,202
2025-04-15,tablet,opera,email,245,14
2025-04-15,tablet,opera,organic,238,9
2025-04-15,tablet,opera,paid,693,29
2025-04-15,tablet,opera,social,1320,100
2025-04-15,tablet,safari,email,462,35
2025-04-15,tablet,safari,organic,548,45
2025-04-15,tablet,safari,paid,1457,81
2025-04-15,tablet,safari,social,2485,241
2025-04-16,desktop,chrome,email,1204,79
2025-04-16,desktop,chrome,organic,6990,162
2025-04-16,desktop,chrome,paid,3048,177
2025-04-16,desktop,chrome,social,5801,600
2025-04-16,desktop,edge,email,924,59
2025-04-16,desktop,edge,organic,5000,68
2025-04-16,desktop,edge,paid,2462,123
2025-04-16,desktop,edge,social,4475,361
2025-04-16,desktop,firefox,email,2172,117
2025-04-16,desktop,firefox,organic,13140,246
2025-04-16,desktop,firefox,paid,5945,307
2025-04-16,desktop,firefox,social,11451,1091
2025-04-16,desktop,opera,email,1344,52
2025-04-16,desktop,opera,organic,7480,113
2025-04-16,desktop,opera,paid,3382,157
2025-04-16,desktop,opera,social,6394,452
2025-04-16,desktop,safari,email,1341,70
2025-04-16,desktop,safari,organic,7355,146
2025-04-16,desktop,safari,paid,3472,200
2025-04-16,desktop,safari,social,6550,624
2025-04-16,mobile,chrome,email,2238,115
2025-04-16,mobile,chrome,organic,13435,166
2025-04-16,mobile,chrome,paid,6104,312
2025-04-16,mobile,chrome,social,11480,910
2025-04-16,mobile,edge,email,1741,65
2025-04-16,mobile,edge,organic,10085,109
2025-04-16,mobile,edge,paid,4551,161
2025-04-16,mobile,edge,social,8602,533
2025-04-16,mobile,firefox,email,4108,165
2025-04-16,mobile,firefox,organic,25830,326
2025-04-16,mobile,firefox,paid,11651,460
2025-04-16,mobile,firefox,social,22614,1486
2025-04-16,mobile,opera,email,2317,84
2025-04-16,mobile,opera,organic,15005,145
2025-04-16,mobile,opera,paid,6594,210
2025-04-16,mobile,opera,social,12583,690
2025-04-16,mobile,safari,email,2452,99
2025-04-16,mobile,safari,organic,15665,227
2025-04-16,mobile,safari,paid,6741,346
2025-04-16,mobile,safari,social,12953,969
2025-04-16,tablet,chrome,email,430,32
2025-04-16,tablet,chrome,organic,2395,41
2025-04-16,tablet,chrome,paid,1101,62
2025-04-16,tablet,chrome,social,2112,187
2025-04-16,tablet,edge,email,313,17
2025-04-16,tablet,edge,organic,1715,25
2025-04-16,tablet,edge,paid,928,28
2025-04-16,tablet,edge,social,1606,113
2025-04-16,tablet,firefox,email,773,41
2025-04-16,tablet,firefox,organic,4435,60
2025-04-16,tablet,firefox,paid,2050,95
2025-04-16,tablet,firefox,social,3882,312
2025-04-16,tablet,opera,email,452,19
2025-04-16,tablet,opera,organic,2695,29
2025-04-16,tablet,opera,paid,1291,51
2025-04-16,tablet,opera,social,2277,143
2025-04-16,tablet,safari,email,450,20
2025-04-16,tablet,safari,organic,2435,43
2025-04-16,tablet,safari,paid,1286,64
2025-04-16,tablet,safari,social,2287,188
2025-04-17,desktop,chrome,email,5048,288
2025-04-17,desktop,chrome,organic,14034,586
2025-04-17,desktop,chrome,paid,15520,930
2025-04-17,desktop,chrome,social,29174,2743
2025-04-17,desktop,edge,email,570,23
2025-04-17,desktop,edge,organic,1611,52
2025-04-17,desktop,edge,paid,1735,82
2025-04-17,desktop,edge,social,3346,233
2025-04-17,desktop,firefox,email,1717,78
2025-04-17,desktop,firefox,organic,5064,177
2025-04-17,desktop,firefox,paid,5353,234
2025-04-17,desktop,firefox,social,10247,796
2025-04-17,desktop,opera,email,1447,57
2025-04-17,desktop,opera,organic,3675,124
2025-04-17,desktop,opera,paid,4318,193
2025-04-17,desktop,opera,social,7959,520
2025-04-17,desktop,safari,email,1870,100
2025-04-17,desktop,safari,organic,4995,207
2025-04-17,desktop,safari,paid,5730,274
2025-04-17,desktop,safari,social,10879,936
2025-04-17,mobile,chrome,email,5436,225
2025-04-17,mobile,chrome,organic,14640,465
2025-04-17,mobile,chrome,paid,16593,754
2025-04-17,mobile,chrome,social,31297,2173
2025-04-17,mobile,edge,email,597,19
2025-04-17,mobile,edge,organic,1602,41
2025-04-17,mobile,edge,paid,1988,61
2025-04-17,mobile,edge,social,3583,155
2025-04-17,mobile,firefox,email,1871,60
2025-04-17,mobile,firefox,organic,5091,122
2025-04-17,mobile,firefox,paid,5796,224
2025-04-17,mobile,firefox,social,11162,634
2025-04-17,mobile,opera,email,1440,51
2025-04-17,mobile,opera,organic,3924,93
2025-04-17,mobile,opera,paid,4510,130
2025-04-17,mobile,opera,social,8721,415
2025-04-17,mobile,safari,email,1976,78
2025-04-17,mobile,safari,organic,5193,165
2025-04-17,mobile,safari,paid,6118,220
2025-04-17,mobile,safari,social,11443,721
2025-04-17,tablet,chrome,email,1367,61
2025-04-17,tablet,chrome,organic,4029,132
2025-04-17,tablet,chrome,paid,4423,271
2025-04-17,tablet,chrome,social,8378,680
2025-04-17,tablet,edge,email,180,9
2025-04-17,tablet,edge,organic,435,9
2025-04-17,tablet,edge,paid,486,17
2025-04-17,tablet,edge,social,875,47
2025-04-17,tablet,firefox,email,513,22
2025-04-17,tablet,firefox,organic,1317,40
2025-04-17,tablet,firefox,paid,1558,87
2025-04-17,tablet,firefox,social,2971,215
2025-04-17,tablet,opera,email,393,10
2025-04-17,tablet,opera,organic,1071,21
2025-04-17,tablet,opera,paid,1170,30
2025-04-17,tablet,opera,social,2316,118
2025-04-17,tablet,safari,email,538,24
2025-04-17,tablet,safari,organic,1365,43
2025-04-17,tablet,safari,paid,1540,71
2025-04-17,tablet,safari,social,3049,222
