day,location,browser,device,channel,returning_user,visitors,sales,spend
2025-05-13,northern,firefox,tablet,direct,returning,15,1,0
2025-05-13,northern,safari,mobile,organic,new,62,3,0
2025-05-13,northern,safari,mobile,organic,returning,44,2,0
2025-05-13,northern,safari,mobile,paid_search,new,33,1,97
2025-05-13,northern,safari,mobile,paid_search,returning,20,0,92
2025-05-13,northern,safari,mobile,paid_social,new,22,0,41
2025-05-13,northern,safari,mobile,paid_social,returning,19,5,39
2025-05-13,northern,safari,mobile,direct,new,19,0,0
2025-05-13,northern,safari,mobile,direct,returning,14,2,0
2025-05-13,northern,safari,desktop,organic,new,45,2,0
2025-05-13,northern,safari,desktop,organic,returning,63,10,0
2025-05-13,northern,safari,desktop,paid_search,new,19,1,95
2025-05-13,northern,safari,desktop,paid_search,returning,23,2,90
2025-05-13,northern,safari,desktop,paid_social,new,34,1,40
2025-05-13,northern,safari,desktop,paid_social,returning,19,1,38
2025-05-13,northern,safari,desktop,direct,new,25,1,0
2025-05-13,northern,safari,desktop,direct,returning,25,5,0
2025-05-13,northern,safari,tablet,organic,new,20,2,0
2025-05-13,northern,safari,tablet,organic,returning,25,5,0
2025-05-13,northern,safari,tablet,paid_search,new,11,0,49
2025-05-13,northern,safari,tablet,paid_search,returning,13,1,46
2025-05-13,northern,safari,tablet,paid_social,new,12,1,21
2025-05-13,northern,safari,tablet,paid_social,returning,11,0,20
2025-05-13,northern,safari,tablet,direct,new,7,0,0
2025-05-13,northern,safari,tablet,direct,returning,14,2,0
2025-05-13,southern,chrome,mobile,organic,new,115,5,0
2025-05-13,southern,chrome,mobile,organic,returning,96,13,0
2025-05-13,southern,chrome,mobile,paid_search,new,57,0,241
2025-05-13,southern,chrome,mobile,paid_search,returning,45,4,229
2025-05-13,southern,chrome,mobile,paid_social,new,58,1,102
2025-05-13,southern,chrome,mobile,paid_social,returning,61,2,97
2025-05-13,southern,chrome,mobile,direct,new,50,0,0
2025-05-13,southern,chrome,mobile,direct,returning,60,7,0
2025-05-13,southern,chrome,desktop,organic,new,123,7,0
2025-05-13,southern,chrome,desktop,organic,returning,93,11,0
2025-05-13,southern,chrome,desktop,paid_search,new,61,1,235
2025-05-13,southern,chrome,desktop,paid_search,returning,48,6,223
2025-05-13,southern,chrome,desktop,paid_social,new,50,1,100
2025-05-13,southern,chrome,desktop,paid_social,returning,46,5,95
2025-05-13,southern,chrome,desktop,direct,new,51,2,0
2025-05-13,southern,chrome,desktop,direct,returning,55,5,0
2025-05-13,southern,chrome,tablet,organic,new,54,1,0
2025-05-13,southern,chrome,tablet,organic,returning,50,3,0
2025-05-13,southern,chrome,tablet,paid_search,new,24,1,121
2025-05-13,southern,chrome,tablet,paid_search,returning,23,1,115
2025-05-13,southern,chrome,tablet,paid_social,new,36,0,52
2025-05-13,southern,chrome,tablet,paid_social,returning,24,3,49
2025-05-13,southern,chrome,tablet,direct,new,32,0,0
2025-05-13,southern,chrome,tablet,direct,returning,27,2,0
2025-05-13,southern,firefox,mobile,organic,new,79,5,0
2025-05-13,southern,firefox,mobile,organic,returning,64,6,0
2025-05-13,southern,firefox,mobile,paid_search,new,42,0,134
2025-05-13,southern,firefox,mobile,paid_search,returning,37,5,127
2025-05-13,southern,firefox,mobile,paid_social,new,42,1,57
2025-05-13,southern,firefox,mobile,paid_social,returning,45,2,54
2025-05-13,southern,firefox,mobile,direct,new,25,0,0
2025-05-13,southern,firefox,mobile,direct,returning,36,4,0
2025-05-13,southern,firefox,desktop,organic,new,84,4,0
2025-05-13,southern,firefox,desktop,organic,returning,67,7,0
2025-05-13,southern,firefox,desktop,paid_search,new,46,3,131
2025-05-13,southern,firefox,desktop,paid_search,returning,34,4,124
2025-05-13,southern,firefox,desktop,paid_social,new,33,0,55
2025-05-13,southern,firefox,desktop,paid_social,returning,39,2,53
2025-05-13,southern,firefox,desktop,direct,new,25,0,0
2025-05-13,southern,firefox,desktop,direct,returning,41,5,0
2025-05-13,southern,firefox,tablet,organic,new,43,0,0
2025-05-13,southern,firefox,tablet,organic,returning,33,2,0
2025-05-13,southern,firefox,tablet,paid_search,new,17,1,67
2025-05-13,southern,firefox,tablet,paid_search,returning,18,2,64
2025-05-13,southern,firefox,tablet,paid_social,new,14,0,29
2025-05-13,southern,firefox,tablet,paid_social,returning,17,2,27
2025-05-13,southern,firefox,tablet,direct,new,10,0,0
2025-05-13,southern,firefox,tablet,direct,returning,10,1,0
2025-05-13,southern,safari,mobile,organic,new,55,1,0
2025-05-13,southern,safari,mobile,organic,returning,41,4,0
2025-05-13,southern,safari,mobile,paid_search,new,26,1,94
2025-05-13,southern,safari,mobile,paid_search,returning,19,0,89
2025-05-13,southern,safari,mobile,paid_social,new,23,0,40
2025-05-13,southern,safari,mobile,paid_social,returning,15,2,38
2025-05-13,southern,safari,mobile,direct,new,14,1,0
2025-05-13,southern,safari,mobile,direct,returning,21,2,0
2025-05-13,southern,safari,desktop,organic,new,40,3,0
2025-05-13,southern,safari,desktop,organic,returning,54,7,0
2025-05-13,southern,safari,desktop,paid_search,new,23,0,91
2025-05-13,southern,safari,desktop,paid_search,returning,16,1,86
2025-05-13,southern,safari,desktop,paid_social,new,13,0,39
2025-05-13,southern,safari,desktop,paid_social,returning,30,5,37
2025-05-13,southern,safari,desktop,direct,new,27,1,0
2025-05-13,southern,safari,desktop,direct,returning,24,2,0
2025-05-13,southern,safari,tablet,organic,new,21,1,0
2025-05-13,southern,safari,tablet,organic,returning,18,4,0
2025-05-13,southern,safari,tablet,paid_search,new,8,0,47
2025-05-13,southern,safari,tablet,paid_search,returning,9,1,45
2025-05-13,southern,safari,tablet,paid_social,new,11,0,20
2025-05-13,southern,safari,tablet,paid_social,returning,12,1,19
2025-05-13,southern,safari,tablet,direct,new,12,0,0
2025-05-13,southern,safari,tablet,direct,returning,9,2,0
2025-05-13,eastern,chrome,mobile,organic,new,89,5,0
2025-05-13,eastern,chrome,mobile,organic,returning,79,5,0
2025-05-13,eastern,chrome,mobile,paid_search,new,38,1,158
2025-05-13,eastern,chrome,mobile,paid_search,returning,35,3,150
2025-05-13,eastern,chrome,mobile,paid_social,new,35,1,67
2025-05-13,eastern,chrome,mobile,paid_social,returning,29,0,64
2025-05-13,eastern,chrome,mobile,direct,new,31,1,0
2025-05-13,eastern,chrome,mobile,direct,returning,34,2,0
2025-05-13,eastern,chrome,desktop,organic,new,77,2,0
2025-05-13,eastern,chrome,desktop,organic,returning,68,6,0
2025-05-13,eastern,chrome,desktop,paid_search,new,41,2,154
2025-05-13,eastern,chrome,desktop,paid_search,returning,40,4,146
2025-05-13,eastern,chrome,desktop,paid_social,new,31,0,66
2025-05-13,eastern,chrome,desktop,paid_social,returning,30,0,62
2025-05-13,eastern,chrome,desktop,direct,new,46,4,0
2025-05-13,eastern,chrome,desktop,direct,returning,27,3,0
2025-05-13,eastern,chrome,tablet,organic,new,31,0,0
2025-05-13,eastern,chrome,tablet,organic,returning,48,5,0
2025-05-13,eastern,chrome,tablet,paid_search,new,27,1,80
2025-05-13,eastern,chrome,tablet,paid_search,returning,24,1,75
2025-05-13,eastern,chrome,tablet,paid_social,new,14,0,34
2025-05-13,eastern,chrome,tablet,paid_social,returning,11,0,32
2025-05-13,eastern,chrome,tablet,direct,new,12,0,0
2025-05-13,eastern,chrome,tablet,direct,returning,9,0,0
2025-05-13,eastern,firefox,mobile,organic,new,43,2,0
2025-05-13,eastern,firefox,mobile,organic,returning,45,0,0
2025-05-13,eastern,firefox,mobile,paid_search,new,30,0,88
2025-05-13,eastern,firefox,mobile,paid_search,returning,15,0,83
2025-05-13,eastern,firefox,mobile,paid_social,new,27,0,37
2025-05-13,eastern,firefox,mobile,paid_social,returning,20,2,35
2025-05-13,eastern,firefox,mobile,direct,new,18,0,0
2025-05-13,eastern,firefox,mobile,direct,returning,25,1,0
2025-05-13,eastern,firefox,desktop,organic,new,54,2,0
2025-05-13,eastern,firefox,desktop,organic,returning,48,3,0
2025-05-13,eastern,firefox,desktop,paid_search,new,23,0,86
2025-05-13,eastern,firefox,desktop,paid_search,returning,32,1,81
2025-05-13,eastern,firefox,desktop,paid_social,new,29,0,36
2025-05-13,eastern,firefox,desktop,paid_social,returning,22,0,35
2025-05-13,eastern,firefox,desktop,direct,new,27,0,0
2025-05-13,eastern,firefox,desktop,direct,returning,26,1,0
2025-05-13,eastern,firefox,tablet,organic,new,18,1,0
2025-05-13,eastern,firefox,tablet,organic,returning,30,1,0
2025-05-13,eastern,firefox,tablet,paid_search,new,12,0,44
2025-05-13,eastern,firefox,tablet,paid_search,returning,15,0,42
2025-05-13,eastern,firefox,tablet,paid_social,new,10,0,19
2025-05-13,eastern,firefox,tablet,paid_social,returning,15,1,18
2025-05-13,eastern,firefox,tablet,direct,new,10,0,0
2025-05-13,eastern,firefox,tablet,direct,returning,4,1,0
2025-05-13,eastern,safari,mobile,organic,new,30,0,0
2025-05-13,eastern,safari,mobile,organic,returning,34,2,0
2025-05-13,eastern,safari,mobile,paid_search,new,17,0,61
2025-05-13,eastern,safari,mobile,paid_search,returning,18,4,58
2025-05-13,eastern,safari,mobile,paid_social,new,18,0,26
2025-05-13,eastern,safari,mobile,paid_social,returning,17,1,25
2025-05-13,eastern,safari,mobile,direct,new,10,0,0
2025-05-13,eastern,safari,mobile,direct,returning,14,1,0
2025-05-13,eastern,safari,desktop,organic,new,28,0,0
2025-05-13,eastern,safari,desktop,organic,returning,37,5,0
2025-05-13,eastern,safari,desktop,paid_search,new,12,0,60
2025-05-13,eastern,safari,desktop,paid_search,returning,18,0,57
2025-05-13,eastern,safari,desktop,paid_social,new,16,0,25
2025-05-13,eastern,safari,desktop,paid_social,returning,10,0,24
2025-05-13,eastern,safari,desktop,direct,new,10,0,0
2025-05-13,eastern,safari,desktop,direct,returning,17,0,0
2025-05-13,eastern,safari,tablet,organic,new,10,0,0
2025-05-13,eastern,safari,tablet,organic,returning,19,1,0
2025-05-13,eastern,safari,tablet,paid_search,new,9,0,31
2025-05-13,eastern,safari,tablet,paid_search,returning,4,0,29
2025-05-13,eastern,safari,tablet,paid_social,new,4,0,13
2025-05-13,eastern,safari,tablet,paid_social,returning,14,0,12
2025-05-13,eastern,safari,tablet,direct,new,6,0,0
2025-05-13,eastern,safari,tablet,direct,returning,6,0,0
2025-05-13,western,chrome,mobile,organic,new,85,5,0
2025-05-13,western,chrome,mobile,organic,returning,72,10,0
2025-05-13,western,chrome,mobile,paid_search,new,36,0,173
2025-05-13,western,chrome,mobile,paid_search,returning,33,1,164
2025-05-13,western,chrome,mobile,paid_social,new,35,1,73
2025-05-13,western,chrome,mobile,paid_social,returning,32,1,69
2025-05-13,western,chrome,mobile,direct,new,42,0,0
2025-05-13,western,chrome,mobile,direct,returning,34,1,0
2025-05-13,western,chrome,desktop,organic,new,68,4,0
2025-05-13,western,chrome,desktop,organic,returning,61,7,0
2025-05-13,western,chrome,desktop,paid_search,new,32,0,168
2025-05-13,western,chrome,desktop,paid_search,returning,34,1,160
2025-05-13,western,chrome,desktop,paid_social,new,36,0,71
2025-05-13,western,chrome,desktop,paid_social,returning,45,4,68
2025-05-13,western,chrome,desktop,direct,new,42,0,0
2025-05-13,western,chrome,desktop,direct,returning,31,1,0
2025-05-13,western,chrome,tablet,organic,new,42,2,0
2025-05-13,western,chrome,tablet,organic,returning,37,1,0
2025-05-13,western,chrome,tablet,paid_search,new,21,0,87
2025-05-13,western,chrome,tablet,paid_search,returning,15,0,82
2025-05-13,western,chrome,tablet,paid_social,new,24,0,37
2025-05-13,western,chrome,tablet,paid_social,returning,21,0,35
2025-05-13,western,chrome,tablet,direct,new,25,1,0
2025-05-13,western,chrome,tablet,direct,returning,20,2,0
2025-05-13,western,firefox,mobile,organic,new,60,3,0
2025-05-13,western,firefox,mobile,organic,returning,48,3,0
2025-05-13,western,firefox,mobile,paid_search,new,23,1,96
2025-05-13,western,firefox,mobile,paid_search,returning,29,0,91
2025-05-13,western,firefox,mobile,paid_social,new,35,0,41
2025-05-13,western,firefox,mobile,paid_social,returning,18,2,39
2025-05-13,western,firefox,mobile,direct,new,24,0,0
2025-05-13,western,firefox,mobile,direct,returning,21,0,0
2025-05-13,western,firefox,desktop,organic,new,60,1,0
2025-05-13,western,firefox,desktop,organic,returning,34,0,0
2025-05-13,western,firefox,desktop,paid_search,new,24,0,94
2025-05-13,western,firefox,desktop,paid_search,returning,22,1,89
2025-05-13,western,firefox,desktop,paid_social,new,16,0,40
2025-05-13,western,firefox,desktop,paid_social,returning,29,3,38
2025-05-13,western,firefox,desktop,direct,new,28,2,0
2025-05-13,western,firefox,desktop,direct,returning,42,2,0
2025-05-13,western,firefox,tablet,organic,new,38,0,0
2025-05-13,western,firefox,tablet,organic,returning,24,1,0
2025-05-13,western,firefox,tablet,paid_search,new,15,0,48
2025-05-13,western,firefox,tablet,paid_search,returning,18,0,46
2025-05-13,western,firefox,tablet,paid_social,new,15,0,20
2025-05-13,western,firefox,tablet,paid_social,returning,9,0,19
2025-05-13,western,firefox,tablet,direct,new,11,0,0
2025-05-13,western,firefox,tablet,direct,returning,7,0,0
2025-05-13,western,safari,mobile,organic,new,30,0,0
2025-05-13,western,safari,mobile,organic,returning,31,6,0
2025-05-13,western,safari,mobile,paid_search,new,14,1,67
2025-05-13,western,safari,mobile,paid_search,returning,11,0,63
2025-05-13,western,safari,mobile,paid_social,new,16,1,28
2025-05-13,western,safari,mobile,paid_social,returning,14,1,27
2025-05-13,western,safari,mobile,direct,new,17,1,0
2025-05-13,western,safari,mobile,direct,returning,14,2,0
2025-05-13,western,safari,desktop,organic,new,25,1,0
2025-05-13,western,safari,desktop,organic,returning,25,0,0
2025-05-13,western,safari,desktop,paid_search,new,17,0,65
2025-05-13,western,safari,desktop,paid_search,returning,18,1,62
2025-05-13,western,safari,desktop,paid_social,new,12,0,28
2025-05-13,western,safari,desktop,paid_social,returning,11,0,26
2025-05-13,western,safari,desktop,direct,new,7,0,0
2025-05-13,western,safari,desktop,direct,returning,13,2,0
2025-05-13,western,safari,tablet,organic,new,16,2,0
2025-05-13,western,safari,tablet,organic,returning,14,1,0
2025-05-13,western,safari,tablet,paid_search,new,7,0,34
2025-05-13,western,safari,tablet,paid_search,returning,12,0,32
2025-05-13,western,safari,tablet,paid_social,new,6,0,14
2025-05-13,western,safari,tablet,paid_social,returning,7,1,14
2025-05-13,western,safari,tablet,direct,new,10,0,0
2025-05-13,western,safari,tablet,direct,returning,6,0,0
2025-05-13,central,chrome,mobile,organic,new,47,0,0
2025-05-13,central,chrome,mobile,organic,returning,36,2,0
2025-05-13,central,chrome,mobile,paid_search,new,27,0,82
2025-05-13,central,chrome,mobile,paid_search,returning,17,1,78
2025-05-13,central,chrome,mobile,paid_social,new,15,0,35
2025-05-13,central,chrome,mobile,paid_social,returning,17,0,33
2025-05-13,central,chrome,mobile,direct,new,14,0,0
2025-05-13,central,chrome,mobile,direct,returning,11,1,0
2025-05-13,central,chrome,desktop,organic,new,37,2,0
2025-05-13,central,chrome,desktop,organic,returning,36,3,0
2025-05-13,central,chrome,desktop,paid_search,new,19,0,80
2025-05-13,central,chrome,desktop,paid_search,returning,14,1,76
2025-05-13,central,chrome,desktop,paid_social,new,15,0,34
2025-05-13,central,chrome,desktop,paid_social,returning,22,2,32
2025-05-13,central,chrome,desktop,direct,new,17,0,0
2025-05-13,central,chrome,desktop,direct,returning,18,1,0
2025-05-13,central,chrome,tablet,organic,new,13,0,0
2025-05-13,central,chrome,tablet,organic,returning,13,0,0
2025-05-13,central,chrome,tablet,paid_search,new,4,0,41
2025-05-13,central,chrome,tablet,paid_search,returning,6,0,39
2025-05-13,central,chrome,tablet,paid_social,new,7,0,18
2025-05-13,central,chrome,tablet,paid_social,returning,6,0,17
2025-05-13,central,chrome,tablet,direct,new,5,0,0
2025-05-13,central,chrome,tablet,direct,returning,5,0,0
2025-05-13,central,firefox,mobile,organic,new,23,0,0
2025-05-13,central,firefox,mobile,organic,returning,19,0,0
2025-05-13,central,firefox,mobile,paid_search,new,11,0,46
2025-05-13,central,firefox,mobile,paid_search,returning,12,0,43
2025-05-13,central,firefox,mobile,paid_social,new,13,0,19
2025-05-13,central,firefox,mobile,paid_social,returning,6,0,18
2025-05-13,central,firefox,mobile,direct,new,15,0,0
2025-05-13,central,firefox,mobile,direct,returning,12,2,0
2025-05-13,central,firefox,desktop,organic,new,18,1,0
2025-05-13,central,firefox,desktop,organic,returning,30,1,0
2025-05-13,central,firefox,desktop,paid_search,new,18,0,44
2025-05-13,central,firefox,desktop,paid_search,returning,7,0,42
2025-05-13,central,firefox,desktop,paid_social,new,10,0,19
2025-05-13,central,firefox,desktop,paid_social,returning,14,0,18
2025-05-13,central,firefox,desktop,direct,new,14,0,0
2025-05-13,central,firefox,desktop,direct,returning,8,0,0
2025-05-13,central,firefox,tablet,organic,new,9,0,0
2025-05-13,central,firefox,tablet,organic,returning,11,1,0
2025-05-13,central,firefox,tablet,paid_search,new,6,0,23
2025-05-13,central,firefox,tablet,paid_search,returning,7,0,22
2025-05-13,central,firefox,tablet,paid_social,new,5,0,10
2025-05-13,central,firefox,tablet,paid_social,returning,5,0,9
2025-05-13,central,firefox,tablet,direct,new,7,0,0
2025-05-13,central,firefox,tablet,direct,returning,2,0,0
2025-05-13,central,safari,mobile,organic,new,14,0,0
2025-05-13,central,safari,mobile,organic,returning,18,2,0
2025-05-13,central,safari,mobile,paid_search,new,12,0,32
2025-05-13,central,safari,mobile,paid_search,returning,8,0,30
2025-05-13,central,safari,mobile,paid_social,new,8,0,14
2025-05-13,central,safari,mobile,paid_social,returning,4,0,13
2025-05-13,central,safari,mobile,direct,new,7,0,0
2025-05-13,central,safari,mobile,direct,returning,8,0,0
2025-05-13,central,safari,desktop,organic,new,14,1,0
2025-05-13,central,safari,desktop,organic,returning,14,0,0
2025-05-13,central,safari,desktop,paid_search,new,8,1,31
2025-05-13,central,safari,desktop,paid_search,returning,3,0,29
2025-05-13,central,safari,desktop,paid_social,new,8,0,13
2025-05-13,central,safari,desktop,paid_social,returning,7,0,12
2025-05-13,central,safari,desktop,direct,new,8,1,0
2025-05-13,central,safari,desktop,direct,returning,6,1,0
2025-05-13,central,safari,tablet,organic,new,14,1,0
2025-05-13,central,safari,tablet,organic,returning,10,1,0
2025-05-13,central,safari,tablet,paid_search,new,6,0,16
2025-05-13,central,safari,tablet,paid_search,returning,6,1,15
2025-05-13,central,safari,tablet,paid_social,new,4,0,7
2025-05-13,central,safari,tablet,paid_social,returning,2,0,6
2025-05-13,central,safari,tablet,direct,new,5,0,0
2025-05-13,central,safari,tablet,direct,returning,5,2,26
2025-05-14,northern,chrome,mobile,organic,new,115,4,0
2025-05-14,northern,chrome,mobile,organic,returning,112,7,0
2025-05-14,northern,chrome,mobile,paid_search,new,62,2,272
2025-05-14,northern,chrome,mobile,paid_search,returning,64,3,237
2025-05-14,northern,chrome,mobile,paid_social,new,60,4,111
2025-05-14,northern,chrome,mobile,paid_social,returning,57,4,97
2025-05-14,northern,chrome,mobile,direct,new,57,3,0
2025-05-14,northern,chrome,mobile,direct,returning,51,2,0
2025-05-14,northern,chrome,desktop,organic,new,116,8,0
2025-05-14,northern,chrome,desktop,organic,returning,109,17,0
2025-05-14,northern,chrome,desktop,paid_search,new,72,2,279
2025-05-14,northern,chrome,desktop,paid_search,returning,54,4,244
2025-05-14,northern,chrome,desktop,paid_social,new,69,3,114
2025-05-14,northern,chrome,desktop,paid_social,returning,60,3,100
2025-05-14,northern,chrome,desktop,direct,new,57,2,0
2025-05-14,northern,chrome,desktop,direct,returning,63,5,0
2025-05-14,northern,chrome,tablet,organic,new,45,0,0
2025-05-14,northern,chrome,tablet,organic,returning,57,3,0
2025-05-14,northern,chrome,tablet,paid_search,new,31,0,141
2025-05-14,northern,chrome,tablet,paid_search,returning,24,0,123
2025-05-14,northern,chrome,tablet,paid_social,new,33,0,58
2025-05-14,northern,chrome,tablet,paid_social,returning,24,3,50
2025-05-14,northern,chrome,tablet,direct,new,24,1,0
2025-05-14,northern,chrome,tablet,direct,returning,29,4,0
2025-05-14,northern,firefox,mobile,organic,new,58,2,0
2025-05-14,northern,firefox,mobile,organic,returning,54,3,0
2025-05-14,northern,firefox,mobile,paid_search,new,37,1,154
2025-05-14,northern,firefox,mobile,paid_search,returning,40,2,134
2025-05-14,northern,firefox,mobile,paid_social,new,34,0,63
2025-05-14,northern,firefox,mobile,paid_social,returning,31,2,55
2025-05-14,northern,firefox,mobile,direct,new,24,0,0
2025-05-14,northern,firefox,mobile,direct,returning,37,3,0
2025-05-14,northern,firefox,desktop,organic,new,61,3,0
2025-05-14,northern,firefox,desktop,organic,returning,65,4,0
2025-05-14,northern,firefox,desktop,paid_search,new,36,0,158
2025-05-14,northern,firefox,desktop,paid_search,returning,31,3,138
2025-05-14,northern,firefox,desktop,paid_social,new,22,0,65
2025-05-14,northern,firefox,desktop,paid_social,returning,29,0,56
2025-05-14,northern,firefox,desktop,direct,new,32,4,0
2025-05-14,northern,firefox,desktop,direct,returning,28,0,0
2025-05-14,northern,firefox,tablet,organic,new,29,1,0
2025-05-14,northern,firefox,tablet,organic,returning,35,6,0
2025-05-14,northern,firefox,tablet,paid_search,new,18,0,80
2025-05-14,northern,firefox,tablet,paid_search,returning,17,0,70
2025-05-14,northern,firefox,tablet,paid_social,new,19,0,33
2025-05-14,northern,firefox,tablet,paid_social,returning,11,0,28
2025-05-14,northern,firefox,tablet,direct,new,19,0,0
2025-05-14,northern,firefox,tablet,direct,returning,16,1,0
2025-05-14,northern,safari,mobile,organic,new,36,0,0
2025-05-14,northern,safari,mobile,organic,returning,47,5,0
2025-05-14,northern,safari,mobile,paid_search,new,20,3,107
2025-05-14,northern,safari,mobile,paid_search,returning,25,3,93
2025-05-14,northern,safari,mobile,paid_social,new,15,0,44
2025-05-14,northern,safari,mobile,paid_social,returning,23,1,38
2025-05-14,northern,safari,mobile,direct,new,20,1,0
2025-05-14,northern,safari,mobile,direct,returning,23,2,0
2025-05-14,northern,safari,desktop,organic,new,36,1,0
2025-05-14,northern,safari,desktop,organic,returning,53,4,0
2025-05-14,northern,safari,desktop,paid_search,new,25,2,110
2025-05-14,northern,safari,desktop,paid_search,returning,17,1,96
2025-05-14,northern,safari,desktop,paid_social,new,25,0,45
2025-05-14,northern,safari,desktop,paid_social,returning,13,1,39
2025-05-14,northern,safari,desktop,direct,new,13,0,0
2025-05-14,northern,safari,desktop,direct,returning,20,3,0
2025-05-14,northern,safari,tablet,organic,new,22,1,0
2025-05-14,northern,safari,tablet,organic,returning,26,3,0
2025-05-14,northern,safari,tablet,paid_search,new,13,0,55
2025-05-14,northern,safari,tablet,paid_search,returning,11,0,48
2025-05-14,northern,safari,tablet,paid_social,new,9,0,23
2025-05-14,northern,safari,tablet,paid_social,returning,22,0,20
2025-05-14,northern,safari,tablet,direct,new,10,0,0
2025-05-14,northern,safari,tablet,direct,returning,11,1,0
2025-05-14,southern,chrome,mobile,organic,new,100,2,0
2025-05-14,southern,chrome,mobile,organic,returning,107,9,0
2025-05-14,southern,chrome,mobile,paid_search,new,50,0,286
2025-05-14,southern,chrome,mobile,paid_search,returning,79,1,250
2025-05-14,southern,chrome,mobile,paid_social,new,55,0,117
2025-05-14,southern,chrome,mobile,paid_social,returning,59,7,102
2025-05-14,southern,chrome,mobile,direct,new,61,3,0
2025-05-14,southern,chrome,mobile,direct,returning,60,8,0
2025-05-14,southern,chrome,desktop,organic,new,100,4,0
2025-05-14,southern,chrome,desktop,organic,returning,125,9,0
2025-05-14,southern,chrome,desktop,paid_search,new,43,1,294
2025-05-14,southern,chrome,desktop,paid_search,returning,60,4,257
2025-05-14,southern,chrome,desktop,paid_social,new,69,3,120
2025-05-14,southern,chrome,desktop,paid_social,returning,64,2,105
2025-05-14,southern,chrome,desktop,direct,new,56,2,0
2025-05-14,southern,chrome,desktop,direct,returning,54,3,0
2025-05-14,southern,chrome,tablet,organic,new,50,1,0
2025-05-14,southern,chrome,tablet,organic,returning,54,5,0
2025-05-14,southern,chrome,tablet,paid_search,new,26,0,148
2025-05-14,southern,chrome,tablet,paid_search,returning,28,1,130
2025-05-14,southern,chrome,tablet,paid_social,new,17,0,61
2025-05-14,southern,chrome,tablet,paid_social,returning,21,1,53
2025-05-14,southern,chrome,tablet,direct,new,26,1,0
2025-05-14,southern,chrome,tablet,direct,returning,28,3,0
2025-05-14,southern,firefox,mobile,organic,new,58,4,0
2025-05-14,southern,firefox,mobile,organic,returning,71,7,0
2025-05-14,southern,firefox,mobile,paid_search,new,29,0,162
2025-05-14,southern,firefox,mobile,paid_search,returning,30,2,141
2025-05-14,southern,firefox,mobile,paid_social,new,30,0,66
2025-05-14,southern,firefox,mobile,paid_social,returning,32,1,58
2025-05-14,southern,firefox,mobile,direct,new,34,2,0
2025-05-14,southern,firefox,mobile,direct,returning,30,0,0
